rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
6.9 35,60,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2163912778.jpg,True,20497633,剧情 惊悚 灾难,俄罗斯,夺命地铁,https://movie.douban.com/subject/20497633/,2014-01-10,15,15010,6.9,谢尔盖·普斯科帕里斯 阿纳托利·比利 斯维特拉纳·库德钦科娃 安菲萨·梅德韦迭娃 亚力克萨·巴杜科夫 凯特丽娜·斯皮茨 叶莲娜·维克托罗夫娜·帕诺娃 斯坦尼斯拉夫·杜任科夫 基里尔·普雷特涅夫 伊万·马卡列维奇 安德鲁·喀科弗 Aleksey Gavrilov 斯韦特兰娜·科尔帕科娃 克谢尼娅·贝尔齐纳 亚历山大·菲克森,False
6.9 35,61,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2377347186.jpg,True,1296027,剧情 动作 灾难,美国,活火熔城,https://movie.douban.com/subject/1296027/,1997-04-25,42,9953,6.9,汤米·李·琼斯 安·海切 盖比·霍夫曼 唐·钱德尔 杰奎琳·金 凯斯·大卫 约翰·考伯特 迈克尔·里斯波利 约翰·卡洛·林奇 大卫·普雷斯曼 Joshua Fardon Todd Sible 罗恩·帕金斯 Joy Baggish 凯蒂·瑞奇 罗伯特·维斯多姆 布莱恩·马克金森 理查德·希夫 Danny Comden 迈克尔·麦克格雷迪 Charles Perez Chris Myers Rick Garcia Kerry Kilbride Shepard Smith Harvey Levin Robert Tittor Howard DuVall 米歇尔·沃特 泰勒·索恩 Jared Thorne Steve Mora Bert Kramer Bo Eason 萨尔·伦迪诺 Ken Kerman 詹妮弗·埃斯特林 Angela Albarez 洛乌·迈尔斯 苏茜·伊斯曼 维勒特·罗德里格斯 戴顿·考利,False
6.9 35,62,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p686557342.jpg,True,1292590,动作 冒险 灾难,美国,天崩地裂,https://movie.douban.com/subject/1292590/,1997-02-07,9,7317,6.9,皮尔斯·布鲁斯南 琳达·汉密尔顿 格兰特·赫斯洛夫 因格·内哈斯 马泰 查尔斯·哈拉汉 伊丽莎白·霍夫曼 杰里米·福利 杰米·芮妮·史密斯,False
6.9 35,63,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2306709459.jpg,False,2337716,剧情 科幻 悬疑 奇幻 冒险 灾难,英国,神秘博士1996电影版,https://movie.douban.com/subject/2337716/,1996-05-12,9,558,6.9,保罗·麦甘恩 埃里克·罗伯茨 达芙妮·阿斯布鲁克 威尔·萨索 西尔维斯特·迈可伊 曹益吉 Jeremy Radick Mi-Jung Lee 约翰·诺瓦克,False
6.8 35,64,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1588680264.jpg,True,6839145,剧情 惊悚 灾难,韩国,铁线虫入侵,https://movie.douban.com/subject/6839145/,2012-12-06,12,59002,6.8,金明民 金烔完 文晶熙 李荷妮 赵汉哲 闵庆珍 郭仁俊 赵德贤 周锡泰 严智星 郑仁基 申菲,False
6.8 35,65,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p914223313.jpg,True,1473795,剧情 动作 冒险 灾难,美国,海神号,https://movie.douban.com/subject/1473795/,2006-06-02,37,31565,6.8,乔什·卢卡斯 库尔特·拉塞尔 杰茜达·芭瑞特 埃米·罗森 弗莱迪·罗德里格兹 凯文·狄龙 安德鲁·布劳尔 米娅·麦斯特罗 乔迪·卡巴勒罗 吉米·本内特 任亚明 威尔·卡特 理查德·德莱福斯 David Reivers Gordon Thomson 克里克·B·R·沃勒尔 Menina Fortunato Juliette Tinelle Joseph Bell Ryan Cross Spencer Hawken David McDivitt Abra Chouinard Kevin Leung 简·门罗 加布里埃尔·雅雷 詹妮弗西奥 文森·德·保罗 凯特克拉克 斯泰西·弗格森 艾瑞克·奥德 Brannon Bates 杰拉德·加纳 迈克·沃格尔 Jesse Henecke 卡罗琳·拉格菲尔特 Kristopher Maslardzievski,False
6.8 35,66,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2541197052.jpg,True,26937563,爱情 灾难,美国,惊涛飓浪,https://movie.douban.com/subject/26937563/,2018-12-07,10,13211,6.8,山姆·克拉弗林 谢琳·伍德蕾 杰弗瑞·托马斯 伊丽莎白·霍桑 格蕾丝·帕尔默 塔米·阿什克拉夫特 凯尔·达米拉米安 露娜·坎贝尔 扎克·贝雷斯福德 锡亚莱·吐诺卡,False
6.8 35,67,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537378120.jpg,False,26684528,剧情 历史 灾难,法国 比利时 卢森堡,库尔斯克,https://movie.douban.com/subject/26684528/,2018-09-06,27,4062,6.8,科林·费尔斯 蕾雅·赛杜 马提亚斯·修奈尔 迈克尔·恩奎斯特 马克斯·冯·叙多夫 奥古斯特·迪赫 史蒂芬·威丁顿 潘妮拉·奥古斯特 马提亚斯·施维赫夫 扎特科·巴瑞克 乔尔·巴斯曼 马格努斯·米兰 伊娃·范·德·古奇特 古斯塔夫·汉马斯顿 约翰·霍林沃思 皮特·布科夫斯基 布贾内·亨里克森 彼得·西蒙尼舍克 拉尔斯·博格曼 蒂伊门·戈瓦尔茨 米格伦·米切夫 海伦娜·赖因科德·纳曼 彼得·普劳格博格 阿斯克·邦 马丁·布拉姆马赫 克拉多·德·克拉伦 Fedja Stukan,False
6.7 35,68,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568258113.jpg,True,30295905,剧情 传记 灾难,中国大陆,中国机长,https://movie.douban.com/subject/30295905/,2019-09-30,32,575993,6.7,张涵予 欧豪 杜江 袁泉 张天爱 李沁 雅玫 杨祺如 高戈 黄志忠 朱亚文 李现 焦俊艳 吴樾 阚清子 李岷城 冯文娟 陈数 杨颖 余皑磊 关晓彤 刘浩 伊拉尔·帕萨 亚历克斯·皮希汀 赵亮 周波 刘伟强 孟子义 杨杨 余沛杉 李梓琳 张晓谦,False
6.7 35,69,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2207854660.jpg,False,2354729,剧情 科幻 悬疑 惊悚 灾难,美国 英国 澳大利亚,神秘代码,https://movie.douban.com/subject/2354729/,2009-10-30,6,108488,6.7,尼古拉斯·凯奇 钱德勒·坎特布瑞 罗丝·伯恩 D.G. Maloney John DeVito 拉腊·罗宾逊,False
