rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.7 50,1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2163632289.jpg,False,4167113,纪录片 音乐,日本,久石让在武道馆：与宫崎骏动画一同走过的25年,https://movie.douban.com/subject/4167113/,2008-08-05,4,12304,9.7,久石让 大桥望美 高畑勋 宫崎骏,False
9.7 50,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508258590.jpg,False,27087625,纪录片,英国,地球脉动2：奇迹世界,https://movie.douban.com/subject/27087625/,2017-01-01,1,2309,9.7,大卫·爱登堡,False
9.7 50,3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561076037.jpg,False,34447335,纪录片,日本,关口知宏之中国铁道大纪行 全集附特典,https://movie.douban.com/subject/34447335/,2007,1,761,9.7,关口知宏,False
9.7 50,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575300760.jpg,False,1476409,纪录片 音乐,英国,披头士精选辑,https://movie.douban.com/subject/1476409/,1995-11-26,4,710,9.7,保罗·麦卡特尼 乔治·哈里逊 林哥·斯塔尔 约翰·列侬,False
9.7 50,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2545772438.jpg,False,5997861,纪录片 音乐,美国 法国,巴赫－哥德堡变奏曲 / 古尔德录音室演奏版录像,https://movie.douban.com/subject/5997861/,1981,1,547,9.7,格伦·古尔德,False
9.6 50,6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2573211367.jpg,True,30322776,纪录片,英国,人生七年9,https://movie.douban.com/subject/30322776/,2019-06-04,0,5388,9.6, ,False
9.6 50,7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184489189.jpg,False,4234314,纪录片 传记 音乐,英国,无路可逃：一部关于模糊乐队的电影,https://movie.douban.com/subject/4234314/,2010-01-14,7,2763,9.6,达蒙·奥尔本 菲尔·丹尼尔斯 格拉翰姆·考可森 利亚姆·加拉格尔 诺尔·加拉格 阿历克斯·詹姆斯 戴夫·罗恩特里,False
9.6 50,8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2594945703.jpg,False,35024535,纪录片 同性,美国,摩登家庭：摩登式告别,https://movie.douban.com/subject/35024535/,2020-04-08,12,2561,9.6,索菲娅·维加拉 艾德·奥尼尔 泰·布利尔 朱丽·鲍温 艾瑞克·斯通斯崔特 杰西·泰勒·弗格森 阿芮尔·温特 里克·罗德里格兹 奥布里·安德森-埃蒙斯 诺兰·古德 萨拉·海蓝德 里德·尤因,False
9.6 50,9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580288976.jpg,False,5164585,纪录片,美国,创造“哈利·波特”的世界：魔法开始,https://movie.douban.com/subject/5164585/,2009,4,2518,9.6,玛吉·史密斯 丹尼尔·雷德克里夫 约翰·赫特 艾玛·沃森,False
9.6 50,10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210549104.jpg,False,26257406,纪录片,日本,岚：15周年的告白,https://movie.douban.com/subject/26257406/,2014-11-07,5,2480,9.6,大野智 樱井翔 相叶雅纪 二宫和也 松本润,False
9.6 50,11,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2589847112.jpg,False,3816069,纪录片 音乐,美国,危险之旅：短片合辑,https://movie.douban.com/subject/3816069/,1993,1,1751,9.6,迈克尔·杰克逊,False
9.6 50,12,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2161734314.jpg,False,5983724,纪录片,英国,俄国人生七年1,https://movie.douban.com/subject/5983724/,1991-05-28,0,1618,9.6, ,False
9.6 50,13,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580281774.jpg,False,20514888,纪录片,美国,创造哈利·波特的世界：成长,https://movie.douban.com/subject/20514888/,2012-09-07,4,1453,9.6,丹尼尔·雷德克里夫 艾玛·沃森 鲁伯特·格林特 马修·刘易斯,False
9.6 50,14,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580279112.jpg,False,6718144,纪录片,美国,创造“哈利·波特”的世界：音乐,https://movie.douban.com/subject/6718144/,2010-10-19,0,1391,9.6, ,False
