rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.4 50,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,True,1292722,剧情 爱情 灾难,美国,泰坦尼克号,https://movie.douban.com/subject/1292722/,1998-04-03,61,1481868,9.4,莱昂纳多·迪卡普里奥 凯特·温丝莱特 比利·赞恩 凯西·贝茨 弗兰西丝·费舍 格劳瑞亚·斯图尔特 比尔·帕克斯顿 伯纳德·希尔 大卫·沃纳 维克多·加博 乔纳森·海德 苏茜·爱米斯 刘易斯·阿伯内西 尼古拉斯·卡斯柯恩 阿那托利·萨加洛维奇 丹尼·努齐 杰森·贝瑞 伊万·斯图尔特 艾恩·格拉法德 乔纳森·菲利普斯 马克·林赛·查普曼 理查德·格拉翰 保罗·布赖特威尔 艾瑞克·布里登 夏洛特·查顿 博纳德·福克斯 迈克尔·英塞恩 法妮·布雷特 马丁·贾维斯 罗莎琳·艾尔斯 罗切尔·罗斯 乔纳森·伊万斯-琼斯 西蒙·克雷恩 爱德华德·弗莱彻 斯科特·安德森 马丁·伊斯特 克雷格·凯利 格雷戈里·库克 利亚姆·图伊 詹姆斯·兰开斯特 艾尔莎·瑞雯 卢·帕尔特 泰瑞·佛瑞斯塔 凯文·德·拉·诺伊 詹姆斯·卡梅隆 竹内结子 詹姆斯·霍纳 姜广涛 罗恩·多纳基 佐佐木澄江 史蒂文·奎里  詹妮特·戈德斯坦恩 林凡  Linda Kerns 马丁·哈伯 马丁·莱恩 德里克·李 Paul Herbert 亚历山大·欧文斯 Julene Renee 曲敬国,False
9.4 50,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1408665952.jpg,True,5450891,剧情 爱情 灾难,美国,泰坦尼克号 3D版,https://movie.douban.com/subject/5450891/,2012-04-10,37,190446,9.4,莱昂纳多·迪卡普里奥 凯特·温丝莱特 比利·赞恩 凯西·贝茨 弗兰西丝·费舍 格劳瑞亚·斯图尔特 比尔·帕克斯顿 伯纳德·希尔 大卫·沃纳 维克多·加博 乔纳森·海德 苏茜·爱米斯 刘易斯·阿伯内西 尼古拉斯·卡斯柯恩 阿那托利·萨加洛维奇 丹尼·努齐 杰森·贝瑞 伊万·斯图尔特 罗恩·多纳基 夏洛特·查顿 博纳德·福克斯 迈克尔·英塞恩 艾瑞克·布里登 詹妮特·戈德斯坦恩 Linda Kerns Paul Herbert 德里克·李 克雷格·凯利 西蒙·克雷恩 马丁·贾维斯 季冠霖 詹姆斯·卡梅隆 马克·林赛·查普曼 爱德华德·弗莱彻 艾恩·格拉法德 罗切尔·罗斯 史蒂文·奎里 ,False
8.7 45,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1502753803.jpg,False,1296542,剧情 动作 历史 爱情 灾难,加拿大 美国,铁达尼号沉没记,https://movie.douban.com/subject/1296542/,1996-11-17,25,5260,8.7,彼得·盖勒 凯瑟琳·泽塔-琼斯 乔治·C·斯科特 爱娃·玛丽·森特 蒂姆·克里 罗杰·里斯 哈莉·简·科扎克 玛丽露·亨纳尔 麦克·道尔 卡万·史密斯 马修·沃克 科琳·惠勒 戴尔·威尔逊 莫莉·帕克 Shaina Tianne Unger 布伦特·斯泰特 Matt Hill 凯瑟琳·伊莎贝尔 巴里·佩珀 艾伦·坡尔 马尔科姆·斯图尔特 Sonsee Neu 埃里克·李塞德 凯文·麦克纳尔蒂 Lachlan Murdoch,False
8.7 45,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1944277781.jpg,False,1303471,剧情 灾难,伊朗,生生长流,https://movie.douban.com/subject/1303471/,1992-02-01,3,5057,8.7,法尔哈德·赫拉德曼德 布巴·巴尤尔· 奥西纳·法赫,False
8.5 45,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,False,25986180,动作 惊悚 灾难,韩国,釜山行,https://movie.douban.com/subject/25986180/,2016-05-13,31,794626,8.5,孔侑 郑有美 马东锡 金秀安 金义城 崔宇植 安昭熙 崔奎华 郑锡勇 艺秀晶 朴明申 张赫镇 禹都临 沈恩京 白仁权 南延佑 郑煐禥 李珠实 柳在勋 车清华 金在祿 金周宪 金旻錫 金永 Han Sung-soo 董允锡 延尚昊 金锦顺 金根英 张泰民 郑西仁,False
8.5 45,6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2506348908.jpg,True,26718828,剧情 传记 灾难,美国,勇往直前,https://movie.douban.com/subject/26718828/,2017-12-08,20,62682,8.5,乔什·布洛林 迈尔斯·特勒 杰夫·布里吉斯 詹妮弗·康纳利 詹姆斯·戴尔 泰勒·克奇 安迪·麦克道威尔 吉欧夫·斯图兹 亚历克斯·罗素 萨德·拉金比尔 本·哈迪 斯科特·黑兹 杰克·皮克金 斯科特·福克斯 迪兰·科宁 娜塔莉·豪尔 贝尔·詹姆斯 肯尼斯·米勒 洛拉·玛汀内斯-康宁安 乔什·霍普金斯,False
8.4 45,7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2411645494.jpg,False,26951746,动画 灾难,日本,大炮之街,https://movie.douban.com/subject/26951746/,1995,19,3290,8.4,林勇 山田俊司 山本圭子 仲木隆司 中村秀利 福田信昭 江川央生 佐藤正治 佐藤蓝 长嶝高士 石川洋昭 喜多川拓郎 田中和实 园部启一 铃木胜美 盐屋浩三 河合义雄 峰敦子 巴菁子,False
8.3 45,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1971441788.jpg,True,1298917,剧情 动作 惊悚 灾难,英国 意大利 西德,卡桑德拉大桥,https://movie.douban.com/subject/1298917/,1976-12-18,22,23316,8.3,索菲娅·罗兰 理查德·哈里斯 马丁·辛 O·J·辛普森 莱昂内尔·斯坦德 安·托克尔 英格丽·图林 李·斯特拉斯伯格 艾娃·加德纳 伯特·兰卡斯特 洛乌·卡斯特尔 约翰·菲利浦·劳 雷·洛夫洛克 阿莉达·瓦利 斯蒂法诺·帕特里兹 托马斯·亨特 福斯塔·阿韦利 安琪拉·古德温 约翰·P·杜拉尼 李梓 童自荣 严崇德,False
8.3 45,9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505177928.jpg,True,1292890,剧情 历史 灾难,英国,冰海沉船,https://movie.douban.com/subject/1292890/,1958-07-01,54,2873,8.3,肯尼思·莫尔 罗纳德·艾伦 罗伯特·艾尔斯 霍纳尔·布莱克曼 安东尼·布谢尔 John Cairney Jill Dixon Jane Downs 詹姆斯·戴伦福思 迈克尔·古德利菲 肯尼思·格里菲思 Harriette Johns 弗兰克·劳顿 理查德·利奇 大卫·麦考姆 亚历克·马克温 约翰·梅里韦尔 拉夫·迈克尔 劳伦斯·奈史密斯 Russell Napier 雷德蒙德·菲利普斯 George Rose 约瑟夫·托姆利 Patrick Waddington Jack Watling 杰弗里·拜尔顿 迈克尔·布莱恩特 西里尔·张伯伦 Richard Clarke 比·达夫尔 杰拉尔德  哈波尔 托马斯·希思科特 安德鲁·克尔 Barry MacGregor Patrick McAlinney Howard Pays Philip Ray 哈罗德·西登斯 朱利安·萨默斯 提姆 特纳 Meier Tzelniker Bart Allison Gerald Anderson 简·安德森 Maidie Andrews Roger Avon Joan Benham Wallace Bosco 维克多·布鲁克斯 杰米·布洛奇 Peter Burton Pauline Challoner 唐纳德·丘吉尔 乔治·A·库珀,False
8.2 45,10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209602029.jpg,True,1308779,动作 科幻 冒险 灾难,美国,后天,https://movie.douban.com/subject/1308779/,2004-05-28,69,366137,8.2,丹尼斯·奎德 杰克·吉伦哈尔 埃米·罗森 达什·米霍克 杰伊·桑德斯 雪拉·渥德 奥斯汀·尼可斯 阿尔杰·史密斯 富田谭玲 萨沙·罗伊茨 伊安·霍姆 肯尼斯·威尔什 罗宾·威尔科克 贾森·布利克 肯尼思·莫斯科 蒂姆·滨口 格伦·普拉默 艾德里安·莱斯特 理查德·麦克米伦 内斯特·塞拉诺 克里斯·布里顿 瓦拉斯塔·瓦拉纳 保利娜·利特尔 艾伦·福西特 霍华德·比莱尔曼 约翰·麦克拉伦 理查德·泽曼 佩里·金 弗兰克·方丹 米米·库兹克 维塔利·马卡罗夫 袁罗素 蒂姆·巴格莱 查克·沙曼塔 菲利普·贾勒特 艾安娜·奥申 托尼·卡拉布雷塔 薇安·温特 希拉·麦卡锡 汤姆·鲁尼 艾米·斯洛安 玛丽洛·贝吕古 凯伦·格莱夫 克里斯蒂安·特西尔 乔·柯布登  卡罗琳·基南 阿隆·鲁斯汀 萨姆·伍兹 杰克·劳弗 吕克·莱图尔诺 安妮·戴-琼斯 埃马纽埃尔·奥斯-德马雷 特里·辛普森 何塞·拉蒙·罗萨里奥 Al Vandecruys Nassim Sharara J·P·马诺克斯 丽莎·坎宁 Matt Adler Rosey Edeh 劳伦·桑切斯 Wendy L. Walsh Ron Darling 特里·罗哈斯 雷纳·特奎拉 Joey Elias 里克·霍夫曼 Dilva Henry 约翰·桑福德·穆尔,False
