rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.6 50,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,True,1291546,剧情 爱情 同性,中国大陆 中国香港,霸王别姬,https://movie.douban.com/subject/1291546/,1993-07-26,26,1498751,9.6,张国荣 张丰毅 巩俐 葛优 英达 蒋雯丽 吴大维 吕齐 雷汉 尹治 马明威 费振翔 智一桐 李春 赵海龙 李丹 童弟 沈慧芬 黄斐 徐杰 黄磊 冯远征 杨立新 方征 周璞 隋永清,False
9.5 50,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg,True,1292720,剧情 爱情,美国,阿甘正传,https://movie.douban.com/subject/1292720/,1994-06-23,51,1531241,9.5,汤姆·汉克斯 罗宾·怀特 加里·西尼斯 麦凯尔泰·威廉逊 莎莉·菲尔德 海利·乔·奥斯蒙 迈克尔·康纳·亨弗里斯 哈罗德·G·赫瑟姆 山姆·安德森 伊俄涅·M·特雷奇 彼得·道博森 希芳·法隆 伊丽莎白·汉克斯 汉娜·豪尔 克里斯托弗·琼斯 罗布·兰德里 杰森·麦克奎尔 桑尼·施罗耶 艾德·戴维斯 丹尼尔C.斯瑞派克 大卫·布里斯宾 德博拉·麦克蒂尔 艾尔·哈林顿 阿非莫·奥米拉 约翰·沃德斯塔德 迈克尔·伯吉斯 埃里克·安德伍德 拜伦·明斯 斯蒂芬·布吉格沃特 约翰·威廉·高尔特 希拉里·沙普兰 伊莎贝尔·罗斯 理查德·达历山德罗 迪克·史迪威 迈克尔-杰斯 杰弗里·布莱克 瓦妮莎·罗斯 迪克·卡维特 马拉·苏查雷特扎 乔·阿拉斯奇 W·本森·泰瑞 约翰·列侬 埃尔维斯·普雷斯利 罗纳德·里根 鲍勃·霍普 约翰·肯尼迪 理查德·尼克松 吴俊全 蒂莫西·麦克尼尔 杰拉尔德·福特 布雷特·赖斯,False
9.5 50,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,True,1292063,剧情 喜剧 爱情 战争,意大利,美丽人生,https://movie.douban.com/subject/1292063/,2020-01-03,29,963121,9.5,罗伯托·贝尼尼 尼可莱塔·布拉斯基 乔治·坎塔里尼 朱斯蒂诺·杜拉诺 赛尔乔·比尼·布斯特里克 玛丽萨·帕雷德斯 霍斯特·布赫霍尔茨 利迪娅·阿方西 朱利亚娜·洛约迪切 亚美利哥·丰塔尼 彼得·德·席尔瓦 弗朗西斯·古佐 拉法埃拉·莱博罗尼 克劳迪奥·阿方西 吉尔·巴罗尼 马西莫·比安奇 恩尼奥·孔萨尔维 吉安卡尔洛·科森蒂诺 阿伦·克雷格 汉尼斯·赫尔曼 弗兰科·梅斯科利尼 安东尼奥·普雷斯特 吉娜·诺维勒 理查德·塞梅尔 安德烈提多娜 迪尔克·范登贝格 奥梅罗·安东努蒂 沈晓谦 张欣,False
9.5 50,4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.jpg,True,1303408,喜剧 动作 爱情,美国,福尔摩斯二世,https://movie.douban.com/subject/1303408/,1924-04-21,11,12361,9.5,巴斯特·基顿 凯瑟琳·麦奎尔 乔·基顿 Ward Crane Jane Connelly George Davis Doris Deane Betsy Ann Hisle 丘比·摩根 John Patrick Ford West,False
9.4 50,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,True,1292722,剧情 爱情 灾难,美国,泰坦尼克号,https://movie.douban.com/subject/1292722/,1998-04-03,61,1481868,9.4,莱昂纳多·迪卡普里奥 凯特·温丝莱特 比利·赞恩 凯西·贝茨 弗兰西丝·费舍 格劳瑞亚·斯图尔特 比尔·帕克斯顿 伯纳德·希尔 大卫·沃纳 维克多·加博 乔纳森·海德 苏茜·爱米斯 刘易斯·阿伯内西 尼古拉斯·卡斯柯恩 阿那托利·萨加洛维奇 丹尼·努齐 杰森·贝瑞 伊万·斯图尔特 艾恩·格拉法德 乔纳森·菲利普斯 马克·林赛·查普曼 理查德·格拉翰 保罗·布赖特威尔 艾瑞克·布里登 夏洛特·查顿 博纳德·福克斯 迈克尔·英塞恩 法妮·布雷特 马丁·贾维斯 罗莎琳·艾尔斯 罗切尔·罗斯 乔纳森·伊万斯-琼斯 西蒙·克雷恩 爱德华德·弗莱彻 斯科特·安德森 马丁·伊斯特 克雷格·凯利 格雷戈里·库克 利亚姆·图伊 詹姆斯·兰开斯特 艾尔莎·瑞雯 卢·帕尔特 泰瑞·佛瑞斯塔 凯文·德·拉·诺伊 詹姆斯·卡梅隆 竹内结子 詹姆斯·霍纳 姜广涛 罗恩·多纳基 佐佐木澄江 史蒂文·奎里  詹妮特·戈德斯坦恩 林凡  Linda Kerns 马丁·哈伯 马丁·莱恩 德里克·李 Paul Herbert 亚历山大·欧文斯 Julene Renee 曲敬国,False
9.4 50,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1408665952.jpg,True,5450891,剧情 爱情 灾难,美国,泰坦尼克号 3D版,https://movie.douban.com/subject/5450891/,2012-04-10,37,190446,9.4,莱昂纳多·迪卡普里奥 凯特·温丝莱特 比利·赞恩 凯西·贝茨 弗兰西丝·费舍 格劳瑞亚·斯图尔特 比尔·帕克斯顿 伯纳德·希尔 大卫·沃纳 维克多·加博 乔纳森·海德 苏茜·爱米斯 刘易斯·阿伯内西 尼古拉斯·卡斯柯恩 阿那托利·萨加洛维奇 丹尼·努齐 杰森·贝瑞 伊万·斯图尔特 罗恩·多纳基 夏洛特·查顿 博纳德·福克斯 迈克尔·英塞恩 艾瑞克·布里登 詹妮特·戈德斯坦恩 Linda Kerns Paul Herbert 德里克·李 克雷格·凯利 西蒙·克雷恩 马丁·贾维斯 季冠霖 詹姆斯·卡梅隆 马克·林赛·查普曼 爱德华德·弗莱彻 艾恩·格拉法德 罗切尔·罗斯 史蒂文·奎里 ,False
9.4 50,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1161132422.jpg,True,1291831,剧情 爱情 家庭,意大利,灿烂人生,https://movie.douban.com/subject/1291831/,2003-06-22,16,42679,9.4,路易吉·洛·卡肖 阿莱西奥·博尼 索尼娅·贝加马斯科 玛雅·珊萨 法布里齐奥·吉福尼 杰丝敏·特丽卡 里卡多·斯卡马乔 安德烈提多娜 瓦伦蒂娜·卡妮卢提 卡米拉·菲利皮 莉迪亚·维塔莱 Claudio Gioè 斯特凡诺·阿伯蒂 安东内洛·普利西 阿德里娅娜·阿斯蒂 Giuseppe Gandini,False
9.4 50,8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329626263.jpg,False,20326557,剧情 爱情 音乐,法国,巴黎圣母院,https://movie.douban.com/subject/20326557/,1999,7,8894,9.4,海伦娜·赛加拉 加劳 丹尼尔·拉沃伊 布鲁诺·佩尔蒂埃 帕特里克·费欧里 拉克·默维尔 朱丽叶·泽纳缇,False
9.4 50,9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2224933614.jpg,False,25928148,剧情 爱情 歌舞,法国,罗密欧与朱丽叶,https://movie.douban.com/subject/25928148/,2002-02-06,4,4337,9.4,达米安·萨格 希西莉亚·卡拉 葛里高利·巴奎特 Tom Ross,False
9.3 50,10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,True,1300267,剧情 历史 爱情 战争,美国,乱世佳人,https://movie.douban.com/subject/1300267/,1939-12-15,36,486052,9.3,费雯·丽 克拉克·盖博 奥利维娅·德哈维兰 托马斯·米切尔 芭芭拉·欧内尔 伊夫林·凯耶斯 安·卢瑟福德 乔治·里弗斯 弗莱德·克莱恩 海蒂·麦克丹尼尔 奥斯卡·波尔克 巴特弗莱·麦昆 维克托·乔里 埃弗雷特·布朗 霍华德·C·希克曼 艾丽西亚·瑞特 莱斯利·霍华德 兰德·布鲁克斯 卡洛尔·奈 劳拉·霍普·克鲁斯 埃迪·安德森 哈里·达文波特 利昂娜·罗伯特 简·达威尔 欧娜·满森 保罗·赫斯特 伊莎贝尔·朱尔 卡米·金·肯伦 艾瑞克·林登 J·M·克里根 沃德·邦德 莉莲·肯布尔-库珀 吴文伦 查曼若 彭河 李守贞,False
