rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.3 50,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,True,3541415,剧情 科幻 悬疑 冒险,美国 英国,盗梦空间,https://movie.douban.com/subject/3541415/,2010-09-01,28,1464592,9.3,莱昂纳多·迪卡普里奥 约瑟夫·高登-莱维特 艾伦·佩吉 汤姆·哈迪 渡边谦 迪利普·劳 基里安·墨菲 汤姆·贝伦杰 玛丽昂·歌迪亚 皮特·波斯尔思韦特 迈克尔·凯恩 卢卡斯·哈斯 李太力 克莱尔·吉尔蕾 马格努斯·诺兰 泰勒·吉蕾 乔纳森·吉尔 水源士郎 冈本玉二 厄尔·卡梅伦 瑞恩·海沃德 米兰达·诺兰 拉什·费加 蒂姆·科勒赫 妲露拉·莱莉 玛格丽特·因索利亚 吉尔·马德雷尔 迈克尔·加斯顿,False
9.3 50,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,True,1889243,剧情 科幻 冒险,美国 英国 加拿大 冰岛,星际穿越,https://movie.douban.com/subject/1889243/,2014-11-12,28,1092468,9.3,马修·麦康纳 安妮·海瑟薇 杰西卡·查斯坦 卡西·阿弗莱克 迈克尔·凯恩 马特·达蒙 麦肯吉·弗依 蒂莫西·柴勒梅德 艾伦·伯斯汀 约翰·利思戈 韦斯·本特利 大卫·吉亚西 比尔·欧文 托弗·戈瑞斯 科莱特·沃夫 弗朗西斯·X·麦卡蒂 安德鲁·博尔巴 乔什·斯图沃特 莱雅·卡里恩斯 利亚姆·迪金森 杰夫·赫普内尔 伊莱耶斯·加贝尔 布鲁克·史密斯 大卫·奥伊罗 威廉姆·德瓦内 拉什·费加 格里芬·弗雷泽 弗洛拉·诺兰,False
9.3 50,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,True,2131459,科幻 动画 冒险,美国,机器人总动员,https://movie.douban.com/subject/2131459/,2008-06-27,30,965190,9.3,本·贝尔特 艾丽莎·奈特 杰夫·格尔林 佛莱德·威拉特 西格妮·韦弗 MacInTalk 约翰·拉岑贝格 凯茜·纳基麦 泰迪·牛顿 鲍伯·伯根 洛丽·理查德森 吉姆·瓦德 彼特·道格特 安德鲁·斯坦顿 杰夫·皮金 约翰·齐甘 米凯·麦高万 雪莉·琳恩 克莱特·惠特克 唐纳德·富利洛夫 罗里·艾伦 杰斯·哈梅尔 拉瑞恩·纽曼 扬·拉布森 保罗·伊丁 特蕾莎·甘泽尔 加勒特·帕尔默 安格斯·麦克莱恩 草刈正雄 赵增熹,False
9.3 50,4,https://img3.doubanio.com/view/subject/l/public/s3724393.jpg,False,3667535,科幻 动画 冒险,法国,虚幻勇士,https://movie.douban.com/subject/3667535/,2004,2,845,9.3,马修·格克齐 姜广涛,False
9.2 45,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,True,25662329,喜剧 动画 冒险,美国,疯狂动物城,https://movie.douban.com/subject/25662329/,2016-03-04,43,1277762,9.2,金妮弗·古德温 杰森·贝特曼 伊德里斯·艾尔巴 珍妮·斯蕾特 内特·托伦斯 邦尼·亨特 唐·雷克 汤米·钟 J·K·西蒙斯 奥克塔维亚·斯宾瑟 艾伦·图代克 夏奇拉 雷蒙德·S·佩尔西 德拉·萨巴 莫里斯·拉马奇 菲尔·约翰斯顿 约翰·迪·马吉欧 凯蒂·洛斯 吉塔·雷迪 杰西·科尔蒂 汤米·利斯特 乔希·达拉斯 瑞奇·摩尔 凯斯·索西 彼得·曼斯布里奇 拜伦·霍华德 杰拉德·布什 马克·史密斯 乔西·特立尼达 约翰·拉维尔 克里斯汀·贝尔 吉尔·科德斯 梅利莎·古德温 Nan Li 李楠 尼古拉斯·格斯特 容祖儿 季冠霖 张震 戴维德·迪格斯 蔡依林 黄子华 佟心竹,False
9.2 45,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,True,1291560,动画 奇幻 冒险,日本,龙猫,https://movie.douban.com/subject/1291560/,2018-12-14,24,907898,9.2,日高法子 坂本千夏 糸井重里 岛本须美 北林谷荣 高木均 雨笠利幸 丸山裕子 广濑正志 鹫尾真知子 铃木玲子 千叶繁 龙田直树 鳕子 西村朋纮 石田光子 神代知衣 中村大树 水谷优子 平松晶子 大谷育江 达科塔·范宁 艾丽·范宁 秦岚,False
9.2 50,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,True,1291552,剧情 动作 奇幻 冒险,美国 新西兰,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,2004-03-12,66,537707,9.2,伊利亚·伍德 西恩·奥斯汀 维果·莫腾森 奥兰多·布鲁姆 伊恩·麦克莱恩 肖恩·宾 多米尼克·莫纳汉 丽芙·泰勒 约翰·贝西 凯特·布兰切特 比利·博伊德 萨德文·布罗菲 阿利斯泰尔·布朗宁 马尔顿·索克斯 伯纳德·希尔 伊安·霍姆 布鲁斯·霍普金斯 Ian Hughes 劳伦斯·马克奥雷 Noel Appleby 布雷特·麦肯齐 Alexandra Astin Sarah McLeod Maisy McLeod-Riera 约翰·诺贝尔 Paul Norell 米兰达·奥图 布鲁斯·菲利普斯 沙恩·朗吉 约翰·瑞斯-戴维斯 Todd Rippon 安迪·瑟金斯 Harry Sinclair 乔尔·托贝克 卡尔·厄本 史蒂芬·乌瑞 雨果·维文 大卫·文翰 阿兰·霍华德 萨拉·贝克 Robert Pollock 佩特·史密斯 杰德·布罗菲 菲利普·格里夫 布拉德·道里夫 克里斯托弗·李 布鲁斯·斯宾斯 Gino Acevedo Jarl Benzon Jørn Benzon Robert Catto Michael Elsworth 彼得·杰克逊 Sandro Kopp 安德鲁·莱斯尼 约瑟夫·米卡-亨特 亨利·莫腾森 克雷格·帕克 克里斯蒂安·瑞沃斯 迈克尔·斯曼内科  霍华德·肖 约翰·斯蒂芬森 理查德·泰勒 金永钢 姜广涛 张磊,False
9.2 50,8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,True,25958717,剧情 冒险 家庭,德国 瑞士 南非,海蒂和爷爷,https://movie.douban.com/subject/25958717/,2019-05-16,20,266632,9.2,阿努克·斯特芬 布鲁诺·甘茨 昆林·艾格匹 安娜·申茨 伊莎贝尔·奥特曼 莉莲·奈福 彼得·杰克林 克里斯托夫·高格勒 丽贝卡·因德穆 莫妮卡·古布瑟 阿瑟·比勒 玛丽埃塔·耶米 彼得·洛迈尔 卡塔琳娜·舒特勒 杰拉·哈斯 迈克尔·克兰茨 劳拉·帕克 马库斯·赫林 马克西姆·梅米特 汉内洛勒·霍格,False
9.2 50,9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2565471701.jpg,True,1295399,动作 冒险 剧情,日本,七武士,https://movie.douban.com/subject/1295399/,1954-04-26,48,132899,9.2,三船敏郎 志村乔 津岛惠子 岛崎雪子 藤原釜足 加东大介 木村功 千秋实 宫口精二 小杉义男 左卜全 稻叶义男 土屋嘉男 高堂国典 东野英治郎 上田吉二郎 多多良纯 渡边笃 小川虎之助 山形勋 上山草人 清水元 高木新平 大友伸 高原骏雄 稻垣三郎 堺左千夫 千石规子 本间文子 大久保正信 伊藤实 大村千吉 广濑正一 宇野晃司 谷晃 中岛春雄 清水美恵 熊谷卓三 夏木顺平 岩本弘司 堤康久 马野都留子 森今日子 加藤武 仲代达矢 宇津井健 山本廉 东静子,False
9.2 45,10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2101693489.jpg,True,1401118,冒险 西部,意大利 西班牙 西德,黄金三镖客,https://movie.douban.com/subject/1401118/,1966-12-23,7,83662,9.2,克林特·伊斯特伍德 埃里·瓦拉赫 李·范·克里夫 阿尔多·久弗瑞 路易吉·皮斯蒂利 Rada Rassimov 马里奥·布雷加,False
