rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.4 50,1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,True,1291561,剧情 动画 奇幻,日本,千与千寻,https://movie.douban.com/subject/1291561/,2019-06-21,25,1585290,9.4,柊瑠美 入野自由 夏木真理 菅原文太 中村彰男 玉井夕海 神木隆之介 内藤刚志 泽口靖子 我修院达也 大泉洋 小林郁夫 上条恒彦 小野武彦 田壮壮 王琳 安田显 户次重幸 胡立成 山像香 斋藤志郎 脇田茂 彭昱畅 井柏然 周冬雨,False
9.3 50,2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,True,1418019,动画 奇幻,中国大陆,大闹天宫,https://movie.douban.com/subject/1418019/,1961,8,271181,9.3,邱岳峰 富润生 毕克 尚华 于鼎 李梓 刘广宁 汉斯·阿尔弗莱德森,False
9.3 50,3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg,True,1293749,剧情 爱情 奇幻,美国,生活多美好,https://movie.douban.com/subject/1293749/,1946-12-20,84,59358,9.3,詹姆斯·斯图尔特 唐娜·里德 莱昂纳尔·巴里摩尔 托马斯·米切尔 亨利·崔佛斯 比尤拉·邦蒂 弗兰克·费伦 沃德·邦德 格洛丽亚·格雷厄姆 H.B.沃纳 弗兰克·艾伯森 托德·卡恩茨 萨缪尔·S·辛兹 玛丽·特琳 弗吉妮娅·巴顿 查尔斯·威廉姆斯 萨拉·爱德华兹 威廉·埃德蒙兹 莉莲·伦道夫 阿亨蒂娜·布鲁内蒂 罗伯特·J·安德森 龙尼·拉尔夫 雅尼娜·安·鲁斯 乔吉·努克斯 谢尔登·伦纳德 弗兰克·哈格尼 雷·沃克 查尔斯·莱恩 爱德华·基恩 卡萝尔·库姆斯 卡罗琳·格兰姆斯 拉里·西姆斯 吉米·霍金斯 简·阿克 厄尼·亚当斯 曼雅·安德烈 斯坦利·安德鲁斯 萨姆·阿什 杰克·贝利 布鲁克斯·贝内迪克特 约瑟夫·伯纳德 阿尔·布里奇 玛丽安·卡尔 阿德里亚娜·卡塞洛蒂 莱恩·钱德勒 迈克尔·蔡平 汤姆·查特顿 杰克·奇塔姆 哈里·切希尔 爱德华·克拉克 汤姆·科尔曼 埃伦·科比 海伦·迪克森 迪克·埃利奥特 汤姆·法登 弗兰克·芬顿 埃迪·凡特思顿 萨姆·弗林特 迪克·戈登 约瑟夫·格兰比 查尔斯·霍尔顿 Herbert Heywood Harry Holman Art Howard Bert Howard Arthur Stuart Hull John Indrisano 艾迪·凯恩 Carl Kent Milton Kibbee Effie Laird 迈克·拉里 Harold Landon Meade 'Lux' Lewis Jack Lomas J·法瑞尔·麦克唐纳 Wilbur Mack Charles Meakin 伯特·穆尔豪斯 Evelyn Moriarty Philip Morris George Noisom 弗兰克·奥康纳 让·盖尔,False
9.2 45,4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,True,1292213,喜剧 爱情 奇幻 古装,中国香港 中国大陆,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,2014-10-24,16,1071169,9.2,周星驰 吴孟达 朱茵 蔡少芬 蓝洁瑛 莫文蔚 罗家英 刘镇伟 陆树铭 李健仁 付博文 胡立成 金永钢 吴珏瑾 江约诚 许敬义,False
9.2 45,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,True,1291560,动画 奇幻 冒险,日本,龙猫,https://movie.douban.com/subject/1291560/,2018-12-14,24,907898,9.2,日高法子 坂本千夏 糸井重里 岛本须美 北林谷荣 高木均 雨笠利幸 丸山裕子 广濑正志 鹫尾真知子 铃木玲子 千叶繁 龙田直树 鳕子 西村朋纮 石田光子 神代知衣 中村大树 水谷优子 平松晶子 大谷育江 达科塔·范宁 艾丽·范宁 秦岚,False
9.2 50,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,True,1291552,剧情 动作 奇幻 冒险,美国 新西兰,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,2004-03-12,66,537707,9.2,伊利亚·伍德 西恩·奥斯汀 维果·莫腾森 奥兰多·布鲁姆 伊恩·麦克莱恩 肖恩·宾 多米尼克·莫纳汉 丽芙·泰勒 约翰·贝西 凯特·布兰切特 比利·博伊德 萨德文·布罗菲 阿利斯泰尔·布朗宁 马尔顿·索克斯 伯纳德·希尔 伊安·霍姆 布鲁斯·霍普金斯 Ian Hughes 劳伦斯·马克奥雷 Noel Appleby 布雷特·麦肯齐 Alexandra Astin Sarah McLeod Maisy McLeod-Riera 约翰·诺贝尔 Paul Norell 米兰达·奥图 布鲁斯·菲利普斯 沙恩·朗吉 约翰·瑞斯-戴维斯 Todd Rippon 安迪·瑟金斯 Harry Sinclair 乔尔·托贝克 卡尔·厄本 史蒂芬·乌瑞 雨果·维文 大卫·文翰 阿兰·霍华德 萨拉·贝克 Robert Pollock 佩特·史密斯 杰德·布罗菲 菲利普·格里夫 布拉德·道里夫 克里斯托弗·李 布鲁斯·斯宾斯 Gino Acevedo Jarl Benzon Jørn Benzon Robert Catto Michael Elsworth 彼得·杰克逊 Sandro Kopp 安德鲁·莱斯尼 约瑟夫·米卡-亨特 亨利·莫腾森 克雷格·帕克 克里斯蒂安·瑞沃斯 迈克尔·斯曼内科  霍华德·肖 约翰·斯蒂芬森 理查德·泰勒 金永钢 姜广涛 张磊,False
9.2 45,7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg,True,1428581,动画 奇幻,中国大陆,天书奇谭,https://movie.douban.com/subject/1428581/,1983,26,144306,9.2,丁建华 毕克 苏秀 程晓桦 施融 于鼎 杨成纯 孙渝烽 胡庆汉 尚华 刘广宁 乔榛 严崇德 伍经纬 童自荣 程玉珠 曹雷 王建新 杨文元 富润生 刘钦 刘风 翟巍 张欣 郭易峰 王肖兵,False
9.2 50,8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2585323764.jpg,False,26972694,爱情 动画 奇幻,中国大陆,狐妖小红娘剧场版：月红篇,https://movie.douban.com/subject/26972694/,2016-06-24,8,6982,9.2,杨天翔 刘校妤 阿杰 张予佟 张凯 乔诗语 宝木中阳 图特哈蒙,False
9.1 45,9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,True,20495023,喜剧 动画 奇幻 音乐,美国,寻梦环游记,https://movie.douban.com/subject/20495023/,2017-11-24,24,1064625,9.1,安东尼·冈萨雷斯 盖尔·加西亚·贝纳尔 本杰明·布拉特 阿兰娜·乌巴赫 芮妮·维克托 杰米·卡米尔 阿方索·阿雷奥 赫伯特·西古恩萨 加布里埃尔·伊格莱西亚斯 隆巴多·博伊尔 安娜·奥菲丽亚·莫吉亚 娜塔丽·科尔多瓦 赛琳娜·露娜 爱德华·詹姆斯·奥莫斯 索菲亚·伊斯皮诺萨 卡拉·梅迪纳 黛娅娜·欧特里 路易斯·瓦尔德斯 布兰卡·阿拉切利 萨尔瓦多·雷耶斯 切奇·马林 奥克塔维·索利斯 约翰·拉岑贝格 以利亚·罗德里格斯,False
9.1 45,10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,True,1929463,剧情 奇幻 冒险,美国 中国台湾 英国 加拿大,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,2012-11-22,19,1022641,9.1,苏拉·沙玛 伊尔凡·可汗 拉菲·斯波 阿迪勒·侯赛因 塔布 阿尤什·坦东 加塔姆·贝鲁尔 阿彦·汗 穆德·阿巴斯·卡勒里 维比什·希瓦库玛 热拉尔·德帕迪约 詹姆斯·塞托 俊·奈托 安德里亚·迪·斯戴法诺 沙拉万提·塞纳特 王柏杰 柯一正 黄健玮 路知行,False
