rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.3 50,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,True,3541415,剧情 科幻 悬疑 冒险,美国 英国,盗梦空间,https://movie.douban.com/subject/3541415/,2010-09-01,28,1464592,9.3,莱昂纳多·迪卡普里奥 约瑟夫·高登-莱维特 艾伦·佩吉 汤姆·哈迪 渡边谦 迪利普·劳 基里安·墨菲 汤姆·贝伦杰 玛丽昂·歌迪亚 皮特·波斯尔思韦特 迈克尔·凯恩 卢卡斯·哈斯 李太力 克莱尔·吉尔蕾 马格努斯·诺兰 泰勒·吉蕾 乔纳森·吉尔 水源士郎 冈本玉二 厄尔·卡梅伦 瑞恩·海沃德 米兰达·诺兰 拉什·费加 蒂姆·科勒赫 妲露拉·莱莉 玛格丽特·因索利亚 吉尔·马德雷尔 迈克尔·加斯顿,False
9.3 50,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,True,1889243,剧情 科幻 冒险,美国 英国 加拿大 冰岛,星际穿越,https://movie.douban.com/subject/1889243/,2014-11-12,28,1092469,9.3,马修·麦康纳 安妮·海瑟薇 杰西卡·查斯坦 卡西·阿弗莱克 迈克尔·凯恩 马特·达蒙 麦肯吉·弗依 蒂莫西·柴勒梅德 艾伦·伯斯汀 约翰·利思戈 韦斯·本特利 大卫·吉亚西 比尔·欧文 托弗·戈瑞斯 科莱特·沃夫 弗朗西斯·X·麦卡蒂 安德鲁·博尔巴 乔什·斯图沃特 莱雅·卡里恩斯 利亚姆·迪金森 杰夫·赫普内尔 伊莱耶斯·加贝尔 布鲁克·史密斯 大卫·奥伊罗 威廉姆·德瓦内 拉什·费加 格里芬·弗雷泽 弗洛拉·诺兰,False
9.3 50,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,True,1292064,剧情 科幻,美国,楚门的世界,https://movie.douban.com/subject/1292064/,1998-06-05,26,1088890,9.3,金·凯瑞 劳拉·琳妮 艾德·哈里斯 诺亚·艾默里奇 娜塔莎·麦克艾霍恩 安东尼·科隆 马西娅·德波尼斯 Adam Tomei 约翰·普莱舍 澳澜·琼斯 Joe Minjares 特里·金瑞利 乔尔·麦金农·米勒 冈本玉二 Jake Eberle 马克·麦考利 贾德森·沃恩 彼得·克劳斯 保罗·吉亚玛提 菲利普·贝克·霍尔 梅丽莎·菲茨杰拉德 Blair Slater 珍妮特·米勒 霍兰德·泰勒 布赖恩·戴拉特 哈里·谢尔,False
9.3 50,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,True,2131459,科幻 动画 冒险,美国,机器人总动员,https://movie.douban.com/subject/2131459/,2008-06-27,30,965192,9.3,本·贝尔特 艾丽莎·奈特 杰夫·格尔林 佛莱德·威拉特 西格妮·韦弗 MacInTalk 约翰·拉岑贝格 凯茜·纳基麦 泰迪·牛顿 鲍伯·伯根 洛丽·理查德森 吉姆·瓦德 彼特·道格特 安德鲁·斯坦顿 杰夫·皮金 约翰·齐甘 米凯·麦高万 雪莉·琳恩 克莱特·惠特克 唐纳德·富利洛夫 罗里·艾伦 杰斯·哈梅尔 拉瑞恩·纽曼 扬·拉布森 保罗·伊丁 特蕾莎·甘泽尔 加勒特·帕尔默 安格斯·麦克莱恩 草刈正雄 赵增熹,False
9.3 50,5,https://img3.doubanio.com/view/subject/l/public/s3724393.jpg,False,3667535,科幻 动画 冒险,法国,虚幻勇士,https://movie.douban.com/subject/3667535/,2004,2,845,9.3,马修·格克齐 姜广涛,False
9.2 45,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,True,1851857,剧情 动作 科幻 犯罪 惊悚,美国 英国,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,2008-07-14,39,729985,9.2,克里斯蒂安·贝尔 希斯·莱杰 艾伦·艾克哈特 迈克尔·凯恩 玛吉·吉伦哈尔 加里·奥德曼 摩根·弗里曼 莫尼克·加布里埃拉·库尔内 罗恩·迪恩 基里安·墨菲 黄经汉 内斯特·卡博内尔 埃里克·罗伯茨 里特奇·科斯特 安东尼·迈克尔·豪尔 基斯·斯扎拉巴基克 柯林·麦克法兰 约书亚·哈尔托 美琳达·麦格劳 内森·甘宝 迈克尔·维约 迈克尔·斯托扬诺夫 威廉·斯米利 丹尼·高德林 迈克尔·加·怀特 马修·奥尼尔 威廉·菲克纳 欧鲁米基·欧拉乌米 格雷格·比姆 爱利克·赫尔曼 毕崔斯·罗森 文森佐·尼克力 陈冠希 罗南·萨莫尔斯 大卫·达斯马齐连 玛丽扎·卡布蕾拉 理查德·迪兰 利萨·麦克阿里斯特 Adam Kalesperis,False
9.2 45,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520264840.jpg,False,27040774,剧情 科幻 同性,美国,超感猎杀：完结特别篇,https://movie.douban.com/subject/27040774/,2018-06-08,29,39441,9.2,裴斗娜 杰米·克莱顿 蒂娜·德赛 塔彭丝·米德尔顿 马克思·雷迈特 米格尔·安赫尔·西尔维斯特 布莱恩·J·史密斯 托比·奥伍梅尔 弗莉玛·阿吉曼 帕鲁布·科里 阿方索·埃雷拉 泰伦斯·曼 达丽尔·汉纳 纳威恩·安德利维斯 奈斯鲍提斯塔 斯蒂芬·鲍克思 阿米拉·加扎拉 约书亚·格罗斯 埃伦迪拉·伊瓦拉 雅丽·乔维尔 西尔维斯特·迈可伊 Annie Munch 埃文特·斯特朗 马克斯·毛夫 朴秀珠 瓦莱丽亚·比莱洛 孙锡久 Vincent Bouillon 拉娜·沃卓斯基,False
9.2 50,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2320482809.jpg,False,5187955,动作 科幻 动画 冒险,美国,Ben 10：变身之谜,https://movie.douban.com/subject/5187955/,2007-08-10,13,544,9.2,塔拉·斯特朗 梅根·史密斯 保罗·伊丁 吉姆·瓦德 戴夫·维滕博格 Claudia Schmidt 德怀特·舒尔茨 瓦内萨·马歇尔 理查德·麦克格纳格尔 理查德·史蒂文·霍维茨 史蒂夫·布卢姆 迪·布拉雷·贝克尔 罗伯特·大卫·豪尔,False
9.1 45,9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233676442.jpg,False,25964630,剧情 科幻 惊悚,英国,黑镜：圣诞特别篇,https://movie.douban.com/subject/25964630/,2014-12-16,8,95570,9.1,乔恩·哈姆 拉菲·斯波 奥娜·卓别林 娜塔丽·特纳 詹妮特·蒙哥马利 李丹 拉斯穆斯·哈迪克 比阿特丽斯·克纽,False
9.1 45,10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910832189.jpg,False,1291566,剧情 科幻 动画,日本,攻壳机动队2：无罪,https://movie.douban.com/subject/1291566/,2004-03-06,23,50030,9.1,田中敦子 大塚明夫 山寺宏一 大木民夫 仲野裕 平田广明 寺杣昌纪 武藤寿美 藤本让 龟山助清 仲木隆司 立木文彦 木下浩之 堀胜之祐 榊原良子 保村真 朝仓荣介 望月健一 木川绘理子 杉本优 渡边明乃 日向奈奈美 竹中直人,False
