rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.6 50,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2550468385.jpg,False,30486586,运动,中国大陆,2008年第29届北京奥运会,https://movie.douban.com/subject/30486586/,2008-08-08,31,1328,9.6,姚明 迈克尔·菲尔普斯 郭晶晶 吴敏霞 杨威 林丹 尤塞恩·博尔特 何雯娜 科比·布莱恩特 北岛康介 里奥内尔·梅西 勒布朗·詹姆斯 卡梅隆·安东尼 德怀特·霍华德 德维恩·韦德 杰森·基德 克里斯·保罗 克里斯·波什 泰肖恩·普林斯 德隆·威廉姆斯 卡洛斯·布泽尔 保罗·加索尔 马克·加索尔 王治郅 易建联 李楠 刘炜 杜锋 陈一冰 蒿俊闵 秦凯,False
9.4 50,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2417312765.jpg,False,26961992,运动,美国,第五十一届超级碗,https://movie.douban.com/subject/26961992/,2017-02-05,2,666,9.4,汤姆·布拉迪 Lady Gaga,False
9.3 50,3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560656796.jpg,False,1764377,运动,英国,利物浦2005欧洲冠军杯决赛之路,https://movie.douban.com/subject/1764377/,2005,21,547,9.3,史蒂文·杰拉德 拉斐尔·贝尼特斯 耶尔齐·杜德克 史蒂夫·芬南 伊戈尔·比斯坎 哈维·阿隆索 斯科特·卡森 Sami Hyypiä Neil Mellor 杰米·卡拉格 约翰·阿恩·里瑟 弗拉基米尔·斯米切尔 何塞米 吉布里尔·西塞 路易斯·加西亚 迪特马尔·哈曼 吉米·特劳雷 Anthony Le Tallec Florent Sinama-Pongolle 哈里·科威尔 米兰·巴罗什,False
9.3 50,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2573535453.jpg,False,3272459,剧情 喜剧 运动,美国,博弈论,https://movie.douban.com/subject/3272459/,2007,0,539,9.3, ,False
9.0 45,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,True,26387939,剧情 传记 运动 家庭,印度,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,2017-05-05,11,1109912,9.0,阿米尔·汗 法缇玛·萨那·纱卡 桑亚·玛荷塔 阿帕尔夏克提·库拉那 沙克希·坦沃 塞伊拉·沃西 苏哈妮·巴特纳格尔 里特维克·萨霍里 吉里什·库卡尼 什沙尔·夏尔马 维万·巴特那,False
8.9 45,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1145536386.jpg,True,3217169,剧情 运动 家庭,美国,勇士,https://movie.douban.com/subject/3217169/,2011-09-09,10,123648,8.9,汤姆·哈迪 乔尔·埃哲顿 尼克·诺特 詹妮弗·莫里森 弗兰克·格里罗 凯文·杜恩 加文·欧康诺 费尔南多·钱 Nick Marcucci 杰克·麦克劳克林,False
8.9 45,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p808214081.jpg,True,1449711,传记 剧情 运动,新西兰 美国 瑞士 日本,世上最快的印第安摩托,https://movie.douban.com/subject/1449711/,2005-10-13,34,7744,8.9,安东尼·霍普金斯 艾伦·墨菲 Alison Bruce 埃里克·皮尔波特 迈克尔·曼特尔 安东尼·斯塔尔 克里斯·威廉斯 克里斯·布鲁诺 克里格·霍尔 詹姆斯·盖林 Thomas McMinn Daniel Sing 吉姆·杰普森 沃尔顿·戈金斯 Todd Emerson Campbell Cooley 加文·格雷泽 Joe Howard 戴安·拉德 布鲁斯·格林伍德 威廉姆·拉金 克里斯多福·劳福德 查尔斯·哈尔福德 Nicholas Lanier Kristen Marie Jensen 帕特里克·约翰·弗吕格 Tim Sabuco Latham Gaines 保罗·罗德里奇斯 蒂姆·夏伯特 Steve O'Neill 卡洛斯·拉卡马拉 Tom Jacobsen 杰西卡·卡普肖,False
8.8 45,8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532780924.jpg,False,6803494,剧情 传记 运动,英国 德国 美国,极速风流,https://movie.douban.com/subject/6803494/,2015-12-11,47,112889,8.8,克里斯·海姆斯沃斯 丹尼尔·布鲁尔 奥利维亚·王尔德 亚历山德拉·玛丽亚·拉娜 皮耶尔弗兰切斯科·法维诺 大卫·卡尔德 娜塔莉·多默尔 史蒂芬·曼甘  克里斯蒂安·麦凯 阿利斯泰·皮垂 朱利安·林希德-图特 科林·斯廷顿 帕特里克·巴拉迪 文森特·里奥特 马丁·萨维奇 杰米·西弗斯 汤姆·拉斯齐哈 克里斯蒂安·索利诺 詹姆斯·诺顿 约瑟芬·德·拉·波美 杰弗里·斯特里特菲尔德 布鲁克·约翰斯顿 汉纳·布里特兰德 利萨·麦克阿里斯特 汉斯-埃卡特·埃克哈特 小家山晃 罗杰·内瓦雷斯 罗非洛·迪格托勒 马可·卡纳迪 迪米特里·格里特萨斯 杰伊·辛普森 菲利普·斯波 恩里奇·雷德曼 藤本正史 罗布·卡瓦佐斯 李·阿斯奎斯-柯 贝恩·科拉科 克里斯·考林 格拉姆·柯里 丽贝卡·沃尔什 堂本刚 堂本光一 朱利安·西格尔 泽维尔·劳伦斯 蕾恩·埃尔伍德 费伊·塞维尔 劳拉·让·马什,False
8.8 45,9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p452578349.jpg,True,1294753,传记 剧情 运动,美国,追梦赤子心,https://movie.douban.com/subject/1294753/,1993-10-13,8,39369,8.8,西恩·奥斯汀 乔恩·费儒 尼德·巴蒂 查尔斯·达顿 莉莉·泰勒 文斯·沃恩 斯科特·本杰明森 罗恩·迪恩,False
8.7 45,10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1734930026.jpg,True,1309016,剧情 运动,美国,百万美元宝贝,https://movie.douban.com/subject/1309016/,2004-12-15,37,159130,8.7,克林特·伊斯特伍德 希拉里·斯万克 摩根·弗里曼 杰伊·巴鲁切尔 迈克·柯尔特 露西娅 瑞科尔 布莱恩·F·奥博恩 安东尼·麦凯 玛格·马丁戴尔 瑞琪·琳德赫姆 迈克尔·佩纳 本尼托·马丁内斯 乔·达安格里奥 Vladimir Rajcic Kimberly Estrada McKay Stewart 迈克尔·凯斯 祖德·塞克利拉 V·J·福斯特 罗明 马尔科·罗德里格斯 罗伯特·麦克墨尔 Sean O'Kane 苏珊·科尔布斯 内德·艾森伯格 Jim Cantafio Michael Bentt Miguel Pérez Spice Williams-Crosby Sean LoGrasso Bruce Gerard Brown Jr. Marcus Chait Morgan Eastwood Jaerin Washington Ricky Pak Christopher Gilbertson 贾米森·杨,False
