rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.3 50,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2238186336.jpg,False,26258817,传记,日本,世界滞在记：18岁的小栗旬在西伯利亚,https://movie.douban.com/subject/26258817/,2009-01-09,1,616,9.3,小栗旬,False
9.3 50,2,https://img9.doubanio.com/view/subject/l/public/s3153676.jpg,False,3125162,传记,美国,演员工作室：凯文·史派西,https://movie.douban.com/subject/3125162/,2000-07-02,2,305,9.3,詹姆斯·里普顿 凯文·史派西,False
9.2 50,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,True,1293172,剧情 传记 历史,英国 意大利 中国大陆 法国,末代皇帝,https://movie.douban.com/subject/1293172/,1987-10-04,35,511796,9.2,尊龙 陈冲 邬君梅 彼得·奥图尔 英若诚 吴涛 黄自强 丹尼斯·邓恩 坂本龙一 马吉·汉 里克·扬 田川洋行 苟杰德 理查德·吴 皱缇格 陈凯歌 卢燕 区亨利 陈述 鲍皓昕 黄文捷 邵茹贞 亨利·基 张良斌 梁冬 康斯坦丁·格雷戈里 黄汉琪 王涛 宋怀桂 蔡鸿翔 程淑艳 张天民 户田惠子 王彪 劳力,False
9.2 45,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,True,1296736,剧情 传记 历史 战争 音乐,法国 德国 英国 波兰,钢琴家,https://movie.douban.com/subject/1296736/,2002-05-24,19,367006,9.2,艾德里安·布洛迪 托马斯·克莱舒曼 艾米莉娅·福克斯 米哈乌·热布罗夫斯基 埃德·斯托帕德 穆琳·利普曼 弗兰克·芬莱 茱莉亚·蕾娜 杰西卡·凯特·梅耶尔 理查德·赖丁斯 泽比纽·扎马洲斯基 安德鲁·蒂曼 丹尼尔·卡尔塔吉罗内 约翰·基奥 露丝·普拉特 雅努什·奥莱伊尼恰克 帕韦尔·伯克齐克 索菲娅·切尔文斯卡 Emilio Fernandez,False
9.2 45,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg,True,1303913,剧情 传记 爱情,中国香港,南海十三郎,https://movie.douban.com/subject/1303913/,1997-05-15,17,24648,9.2,谢君豪 苏玉华 吴绮莉 黄霑 潘灿良 张国权 陈志辉 陈琪 袁富华 邱万城 周志辉 田二喜 梁汉威 罗慧虹 司马华龙 何云 邓祥,False
9.2 45,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2190291916.jpg,True,3097352,剧情 传记,中国大陆,剃头匠,https://movie.douban.com/subject/3097352/,2006-10-24,3,12123,9.2,靖奎 由立平 宋戈,False
9.2 45,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2416087202.jpg,False,24696708,传记,英国,神奇的费曼先生,https://movie.douban.com/subject/24696708/,2013-05-12,0,1406,9.2, ,False
9.1 45,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,True,1849031,剧情 传记 家庭,美国,当幸福来敲门,https://movie.douban.com/subject/1849031/,2008-01-17,42,1084144,9.1,威尔·史密斯 贾登·史密斯 坦迪·牛顿 布莱恩·豪威  詹姆斯·凯伦 丹·卡斯泰兰尼塔 柯特·富勒 塔卡尤·费舍尔 凯文·韦斯特 乔治·张 戴维·迈克尔·西尔弗曼 多米尼克·博夫 杰弗·卡伦 乔伊芙·拉文 斯科特·克拉斯 大卫·皮尔 乔治·马奎尔 扎克·布拉夫 加瑞特·法贝斯 伊斯特·斯高特 艾丽莎·安德瑞格 克里斯·加德纳 莫莉·塞拉斯基 罗明 大卫·芬恩 拉希达·克伦迪宁 多恩·安德鲁·西蒙斯 阿米尔·塔莱 约翰·帕特里克·舒拉克 威廉·保罗·史密斯 塞雷娜·锡德 凯文·克鲁克 詹姆斯·科纳 亚当·德尔·里奥 亚历山大·库科尔 戴维·阿伦·霍奇斯 马克·克里斯托弗·劳伦斯 塞西尔·威廉斯 维克托·莱德·维斯勒 亚当·王 扎卡里·卡伯森 里克·坎普,False
9.1 45,9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2431089276.jpg,True,25938803,剧情 传记 爱情,爱尔兰 加拿大,莫娣,https://movie.douban.com/subject/25938803/,2016-09-02,11,55828,9.1,莎莉·霍金斯 伊桑·霍克 卡瑞·玛切特 加布里埃尔·罗斯 扎卡里·贝内特 比利·麦克莱伦 劳伦斯·巴里 格雷戈·马龙 玛丝·伯纳德 大卫·菲恩 凯特·罗斯,False
9.1 45,10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552495254.jpg,False,1394410,传记 剧情,法国,南特的雅克·德米,https://movie.douban.com/subject/1394410/,1991-05-15,4,3634,9.1,雅克·德米 菲利普·马龙 爱德华·焦博德 洛朗·蒙尼尔,False
9.1 45,11,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2356036266.jpg,False,26803826,传记,中国大陆,坐在人生边上——杨绛,https://movie.douban.com/subject/26803826/,2011-12-17,2,751,9.1,杨绛 钱钟书,False
9.0 45,12,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,True,26387939,剧情 传记 运动 家庭,印度,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,2017-05-05,11,1109905,9.0,阿米尔·汗 法缇玛·萨那·纱卡 桑亚·玛荷塔 阿帕尔夏克提·库拉那 沙克希·坦沃 塞伊拉·沃西 苏哈妮·巴特纳格尔 里特维克·萨霍里 吉里什·库卡尼 什沙尔·夏尔马 维万·巴特那,False
9.0 45,13,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,True,1305487,传记 犯罪 剧情,美国 加拿大,猫鼠游戏,https://movie.douban.com/subject/1305487/,2003-04-11,27,562795,9.0,莱昂纳多·迪卡普里奥 汤姆·汉克斯 克里斯托弗·沃肯 马丁·辛 艾米·亚当斯 詹妮弗·加纳 伊丽莎白·班克斯 纳塔莉·贝伊 詹姆斯·布洛林 艾伦·旁派 南希·利内翰 布莱恩·豪威  弗兰克·约翰·休斯 克里斯·埃里斯 约翰·芬 托马斯·科帕切 罗伯特·柯蒂斯·布朗 斯蒂夫·维亭 温迪·沃辛顿  弗兰克·阿巴内尔 童自荣 Shane Edelman Jillian Clare 杰西米·杰西卡·安东尼 J.帕特里克·麦克康尔马克 詹姆斯·莫里森 艾米·阿克,False
