rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.5 50,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,True,1292063,剧情 喜剧 爱情 战争,意大利,美丽人生,https://movie.douban.com/subject/1292063/,2020-01-03,29,963125,9.5,罗伯托·贝尼尼 尼可莱塔·布拉斯基 乔治·坎塔里尼 朱斯蒂诺·杜拉诺 赛尔乔·比尼·布斯特里克 玛丽萨·帕雷德斯 霍斯特·布赫霍尔茨 利迪娅·阿方西 朱利亚娜·洛约迪切 亚美利哥·丰塔尼 彼得·德·席尔瓦 弗朗西斯·古佐 拉法埃拉·莱博罗尼 克劳迪奥·阿方西 吉尔·巴罗尼 马西莫·比安奇 恩尼奥·孔萨尔维 吉安卡尔洛·科森蒂诺 阿伦·克雷格 汉尼斯·赫尔曼 弗兰科·梅斯科利尼 安东尼奥·普雷斯特 吉娜·诺维勒 理查德·塞梅尔 安德烈提多娜 迪尔克·范登贝格 奥梅罗·安东努蒂 沈晓谦 张欣,False
9.5 50,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,True,1295124,剧情 历史 战争,美国,辛德勒的名单,https://movie.douban.com/subject/1295124/,1993-11-30,46,780586,9.5,连姆·尼森 本·金斯利 拉尔夫·费因斯 卡罗琳·古多尔 乔纳森·萨加尔 艾伯丝·戴维兹 马尔戈萨·格贝尔 马克·伊瓦涅 碧翠斯·马科拉 安德烈·瑟韦林 弗里德里希·冯·图恩 克齐斯茨托夫·拉夫特 诺伯特·魏塞尔 Tadeusz Huk 马丁·塞梅洛格 托马斯·德德克 奥拉夫·卢巴申科 马瑞安·格林卡 佐久间玲 约亨·尼克尔 艾尔文·莱德 约阿希姆·保罗·阿斯波克 Maciej Orlos 阿格涅兹卡·克鲁科沃娜 吴俊全 彭河 皮奥特·赛尔沃斯 戈兹·奥托 玛雅·奥丝塔泽斯卡 Maciej Kozlowski 阿格尼兹卡·旺格 Eugeniusz Priwieziencew 布兰科·拉斯蒂格 路德格·皮斯特 Marta Bizon Ezra Dagan Geno Lechner Razia Israeli 拉米·希尔伯格 埃琳娜·勒文松 胡契克·卡勒塔 塔德乌什·布拉德茨基 亨里克·比斯塔 帕维·德朗柯 耶日·诺瓦克 安娜·穆查,False
9.4 50,3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2538684485.jpg,False,5062387,战争,丹麦,黎明到来,https://movie.douban.com/subject/5062387/,1955-02-17,20,571,9.4,阿斯特丽兹·维尧姆 Kjeld Jacobsen Karl Striebeck Louis Miehe-Renard Kate Mundt Jakob Nielsen Inger Lassen Poul Müller 加布里埃尔·阿克谢 Ole Wisborg Peter Elnegaard Hans Egede Budtz John Wittig Svend Methling 本特·克里斯滕森 Poul Clemmensen Ib Fürst Lilli Holmer Alf Lassen Per Wiking,False
9.3 50,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,True,1300267,剧情 历史 爱情 战争,美国,乱世佳人,https://movie.douban.com/subject/1300267/,1939-12-15,36,486053,9.3,费雯·丽 克拉克·盖博 奥利维娅·德哈维兰 托马斯·米切尔 芭芭拉·欧内尔 伊夫林·凯耶斯 安·卢瑟福德 乔治·里弗斯 弗莱德·克莱恩 海蒂·麦克丹尼尔 奥斯卡·波尔克 巴特弗莱·麦昆 维克托·乔里 埃弗雷特·布朗 霍华德·C·希克曼 艾丽西亚·瑞特 莱斯利·霍华德 兰德·布鲁克斯 卡洛尔·奈 劳拉·霍普·克鲁斯 埃迪·安德森 哈里·达文波特 利昂娜·罗伯特 简·达威尔 欧娜·满森 保罗·赫斯特 伊莎贝尔·朱尔 卡米·金·肯伦 艾瑞克·林登 J·M·克里根 沃德·邦德 莉莲·肯布尔-库珀 吴文伦 查曼若 彭河 李守贞,False
9.3 50,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550705398.jpg,False,27092246,剧情 战争,英国,我们的父辈,https://movie.douban.com/subject/27092246/,2016-05-16,0,1928,9.3, ,False
9.2 45,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,True,1296736,剧情 传记 历史 战争 音乐,法国 德国 英国 波兰,钢琴家,https://movie.douban.com/subject/1296736/,2002-05-24,19,367009,9.2,艾德里安·布洛迪 托马斯·克莱舒曼 艾米莉娅·福克斯 米哈乌·热布罗夫斯基 埃德·斯托帕德 穆琳·利普曼 弗兰克·芬莱 茱莉亚·蕾娜 杰西卡·凯特·梅耶尔 理查德·赖丁斯 泽比纽·扎马洲斯基 安德鲁·蒂曼 丹尼尔·卡尔塔吉罗内 约翰·基奥 露丝·普拉特 雅努什·奥莱伊尼恰克 帕韦尔·伯克齐克 索菲娅·切尔文斯卡 Emilio Fernandez,False
9.2 45,7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1833776334.jpg,False,1292206,剧情 战争,南斯拉夫/法国/德国/保加利亚/捷克/匈牙利/英国/美国,地下,https://movie.douban.com/subject/1292206/,1995-04-01,36,38157,9.2,米基·马诺伊洛维奇 拉扎尔·里斯托夫斯基 米里亚娜·约科维奇 斯拉夫科·斯提马科 恩斯特·施托兹 达沃尔·杜伊莫维奇 Ras Rastoder 哈克·波姆 博拉·托德洛维奇 Mirsad Tuka 埃米尔·库斯图里卡 Josif Tatic 达尼罗 -巴塔-斯托科维奇 Radovan Markovic Marko Stanic Dr. Nele Karajlic Zeljko Mitrovic 德拉甘·尼柯立克 米尔亚娜·卡拉诺维奇 Milena Pavlovic Elizabeta Djorevska 普雷德拉格·拉科维奇 Erol Kadic Ljiljana Jovanovic 彼得·克拉列 布拉尼斯拉夫·莱西奇 Zoran Miljkovic Branko Cvejic Dragoljub-Gula Milosavljevic Irfan Mensur Desa Biogradlija 普雷德拉格·梅林克维奇 Branko Petkovic Olga Poznatov Anja Popovic 斯尔詹·托多罗维奇,False
9.2 50,8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1339915772.jpg,True,1303418,喜剧 战争,美国,你逃我也逃,https://movie.douban.com/subject/1303418/,1942-03-06,36,22166,9.2,卡洛·朗白 杰克·本尼 罗伯特·斯塔克 菲利克斯·布雷萨特 莱昂内尔·阿特威尔 Adolf E. Licho George Lynn 奥拉夫·许滕 约翰·凯洛格 Hans Schumm Charles Irwin 西戈·鲁曼 拉斯·鲍威尔 Wolfgang Zilzer Armand 'Curly' Wright Henry Victor 罗兰德·瓦尔诺 Ernö Verebes Otto Reichow Gene Rizzi 哈利韦尔·霍布斯 查尔斯·霍尔顿 迈尔斯·曼德 John Meredith Maurice Murphy 赫尔穆特·丹丁 斯坦利·里吉斯 弗兰克·雷歇尔 鲁道夫·安德斯 莱兰·霍奇森 Maude Eburne 汤姆·杜根 James Finlayson Leslie Denison Alec Craig Sven Hugo Borg,False
9.2 45,9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511436741.jpg,False,1298257,剧情 历史 战争,苏联,战争与和平1：安德烈·博尔孔斯基,https://movie.douban.com/subject/1298257/,1965,1,1071,9.2,尼基塔·米哈尔科夫,False
9.2 50,10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2511436818.jpg,False,1303079,剧情 历史 战争,苏联,战争与和平3：1812年,https://movie.douban.com/subject/1303079/,1967-11-23,0,916,9.2, ,False
