rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.6 50,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2354179225.jpg,False,5133063,喜剧,英国,憨豆先生精选辑,https://movie.douban.com/subject/5133063/,1997,8,4870,9.6,罗温·艾金森 保罗·布朗 理查德·布赖尔斯 Angus Deayton 罗宾·德里斯科尔 卡罗琳·昆汀 Rudolph Walker 理查德·威尔逊,False
9.5 50,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,True,1292063,剧情 喜剧 爱情 战争,意大利,美丽人生,https://movie.douban.com/subject/1292063/,2020-01-03,29,963126,9.5,罗伯托·贝尼尼 尼可莱塔·布拉斯基 乔治·坎塔里尼 朱斯蒂诺·杜拉诺 赛尔乔·比尼·布斯特里克 玛丽萨·帕雷德斯 霍斯特·布赫霍尔茨 利迪娅·阿方西 朱利亚娜·洛约迪切 亚美利哥·丰塔尼 彼得·德·席尔瓦 弗朗西斯·古佐 拉法埃拉·莱博罗尼 克劳迪奥·阿方西 吉尔·巴罗尼 马西莫·比安奇 恩尼奥·孔萨尔维 吉安卡尔洛·科森蒂诺 阿伦·克雷格 汉尼斯·赫尔曼 弗兰科·梅斯科利尼 安东尼奥·普雷斯特 吉娜·诺维勒 理查德·塞梅尔 安德烈提多娜 迪尔克·范登贝格 奥梅罗·安东努蒂 沈晓谦 张欣,False
9.5 50,3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.jpg,True,1303408,喜剧 动作 爱情,美国,福尔摩斯二世,https://movie.douban.com/subject/1303408/,1924-04-21,11,12361,9.5,巴斯特·基顿 凯瑟琳·麦奎尔 乔·基顿 Ward Crane Jane Connelly George Davis Doris Deane Betsy Ann Hisle 丘比·摩根 John Patrick Ford West,False
9.5 50,4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2527089368.jpg,False,30203557,喜剧,中国香港,黄子华栋笃笑之金盆𠺘口,https://movie.douban.com/subject/30203557/,2018-07-06,1,1627,9.5,黄子华,False
9.4 50,5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509440210.jpg,False,26700818,喜剧 同性,英国,极品基老伴：完结篇,https://movie.douban.com/subject/26700818/,2016-06-19,10,19163,9.4,伊恩·麦克莱恩 德里克·雅各比 弗朗西斯·德·拉·图瓦 伊万·瑞恩 玛西娅·沃伦 菲利普-沃斯 艾琳·阿特金斯 弗兰西斯·巴贝 阿利斯泰尔·布拉默 理查德·加德,False
9.4 50,6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529714509.jpg,False,2054458,剧情 喜剧 动画,美国,拽妹黛薇儿要上大学了没,https://movie.douban.com/subject/2054458/,2002-01-21,9,1431,9.4,John Lynn Amir Williams 马克·汤普森 Becca Lish 温迪胡普斯 莎拉·德鲁 Bart Fasbender 费舍·史蒂芬斯 吉奥弗瑞·阿伦德,False
9.4 50,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2215874393.jpg,False,26264388,剧情 喜剧 音乐,英国,跳出我天地音乐剧,https://movie.douban.com/subject/26264388/,2014-09-28,6,1011,9.4,鲁茜·亨肖 利亚姆·莫威尔 霍华德·克罗斯利 汤姆·赫兰德 艾力厄特·翰纳 伊莫珍·古尼,False
9.3 50,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,True,1294371,剧情 喜剧 爱情,美国,摩登时代,https://movie.douban.com/subject/1294371/,1936-02-25,37,197097,9.3,查理·卓别林 宝莲·高黛 亨利·伯格曼 蒂尼·桑福德 切斯特·康克林 汉克·曼 斯坦利·布莱斯通 阿尔·欧内斯特·加西亚 理查德·亚历山大 塞西尔·雷诺兹 米拉·麦金尼 默多克·麦夸里 威尔弗雷德·卢卡斯 爱德华·勒桑 弗雷德·马拉泰斯塔 萨米·斯坦 特德·奥利弗 诺曼·安斯利 博比·巴伯 海尼·康克林 格洛丽亚·德黑文 帕特·弗莱厄蒂 弗兰克·哈格尼 帕特·哈蒙 劳埃德·英格拉哈姆 沃尔特·詹姆斯 爱德华·金博尔 杰克·洛 巴迪·梅辛杰 布鲁斯·米切尔 弗兰克·莫兰 詹姆斯·C·莫顿 路易·纳托 J·C·纽金特 拉斯·鲍威尔 约翰兰德 哈里·威尔逊,False
9.3 50,9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,True,1293908,喜剧 剧情 爱情,美国,城市之光,https://movie.douban.com/subject/1293908/,1931-01-30,9,88119,9.3,查理·卓别林 弗吉尼亚·切瑞尔 佛罗伦斯·李 亨利·伯格曼 珍·哈露 哈利·迈耶斯 约翰兰德 罗伯特·帕里什 罗伯特·格雷夫斯,False
9.3 50,10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2184490255.jpg,False,6309377,喜剧,英国,西蒙·阿姆斯特尔：顺其自然,https://movie.douban.com/subject/6309377/,2010,1,2394,9.3,西蒙·阿姆斯特尔,False
9.3 50,11,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2298274199.jpg,False,26691373,喜剧,英国,迪兰·莫兰：脱身,https://movie.douban.com/subject/26691373/,2015-11-30,1,1172,9.3,迪兰·莫兰,False
9.2 50,12,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,True,3793023,剧情 喜剧 爱情 歌舞,印度,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,2011-12-08,13,1357175,9.2,阿米尔·汗 卡琳娜·卡普尔 马达范 沙尔曼·乔希 奥米·瓦依达 博曼·伊拉尼 莫娜·辛格 拉杰夫·拉宾德拉纳特安 Atul Tiwari 阿里·法扎勒 帕里卡沙特.萨赫尼 Rakesh Sharma 贾维德·杰弗里,False
