rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.2 45,1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2101693489.jpg,True,1401118,冒险 西部,意大利 西班牙 西德,黄金三镖客,https://movie.douban.com/subject/1401118/,1966-12-23,7,83662,9.2,克林特·伊斯特伍德 埃里·瓦拉赫 李·范·克里夫 阿尔多·久弗瑞 路易吉·皮斯蒂利 Rada Rassimov 马里奥·布雷加,False
9.2 45,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1581774481.jpg,True,1298817,喜剧 爱情 西部 冒险,美国,淘金记,https://movie.douban.com/subject/1298817/,1925-06-26,47,34702,9.2,查理·卓别林 马克·斯旺 Tom Murray 亨利·伯格曼 Malcolm Waite 乔治亚·黑尔 Jack Adams Sam Allen Harry Arras 艾伯特·奥斯汀 Marta Belfort George Brock 海尼·康克林 Kay Deslys James Dime Leon Farey Charles Force J.C. Fowler 阿尔·欧内斯特·加西亚 Inez Gomez 希德·格鲁曼 丽泰·格雷 雷·格雷 F.F. Guenste Jack Herrick George Holt Jean Huntley Gladys Johnston Fred Karno Jr. Elias Lazaroff Joan Lowell Chris-Pin Martin Clyde McAtee John Millerta 贝蒂莫里西 Florence Murth 约翰兰德 蒂尼·桑福德 Frank Stockdale Frank Rice Lillian Rosine C.F. Roark Armand Triller John Wallace Tom Wood Ed Wilson Bess Wade,False
9.1 45,3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206010357.jpg,True,1301026,冒险 战争 西部,意大利,革命往事,https://movie.douban.com/subject/1301026/,1971-10-29,23,10420,9.1,詹姆斯·柯本 罗德·斯泰格尔 玛丽娅·蒙蒂 纳扎雷诺·纳塔莱 路易斯·莫里斯 Stefano Oppedisano 孔拉多·圣马丁 贝尼托·斯特凡内利 罗慕洛·瓦利 大卫·沃贝克 德罗热达·铎洛斯 Vivienne Maya Memè Perlini 富里奥梅尼科尼 阿尔多·桑布雷利 里克·巴塔利亚 朱里奥巴蒂费里 坡尔铎本丹迪 Simon van Collem 塞尔希奥·卡尔德龙 约翰佛雷德里克 安托万圣约翰 佛朗哥格拉齐奥西,False
8.9 45,4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p499158228.jpg,False,1293764,冒险 剧情 西部,美国,与狼共舞,https://movie.douban.com/subject/1293764/,1990-11-21,8,67814,8.9,凯文·科斯特纳 玛丽·麦克唐纳 格雷厄姆·格林 罗德尼·格兰特 弗洛伊德·怀斯特曼 William H. Burton 吉姆·威尔逊 吉姆·赫尔曼,False
8.8 45,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,True,3742360,剧情 喜剧 动作 西部,中国大陆 中国香港,让子弹飞,https://movie.douban.com/subject/3742360/,2010-12-16,30,1144176,8.8,姜文 葛优 周润发 刘嘉玲 陈坤 张默 姜武 周韵 廖凡 姚橹 邵兵 苗圃 冯小刚 胡军 马珂 白冰 杜奕衡 李静 胡明 危笑 杨奇雨 赵铭 宣晓鸣 岳红 姜洪齐 马元 吴昔果 沙瑀 陈磊 文祥,False
8.8 45,6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,True,1295865,剧情 爱情 战争 西部,美国,燃情岁月,https://movie.douban.com/subject/1295865/,1994-12-16,24,213467,8.8,布拉德·皮特 安东尼·霍普金斯 艾丹·奎因 朱莉娅·奥蒙德 亨利·托马斯 卡琳娜·隆巴德 坦图·卡丁诺 高登·图托西斯 克里斯蒂娜·皮克勒斯 约翰·诺瓦克 肯尼斯·威尔什 尼格尔·本内特 基根·麦金托什 埃里克·约翰逊 兰德尔·斯莱文 大卫·卡耶 查尔斯·安德烈 肯·科齐格 温妮·孔 巴特熊 格雷格·福西特 加里·A·赫克 马修·罗伯特·凯利 Sekwan Auger,False
8.8 45,7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2191195219.jpg,True,1295586,西部,意大利 西班牙 西德,黄昏双镖客,https://movie.douban.com/subject/1295586/,1965-12-18,29,27219,8.8,克林特·伊斯特伍德 李·范·克里夫 吉安·马里亚·沃隆特 马里奥·布雷加 路易吉·皮斯蒂利 阿尔多·桑布雷利 克劳斯·金斯基 贝尼托·斯特凡内利 罗伯托·卡马迭尔 约瑟夫·埃格 Tomás Blanco Sergio Mendizábal Dante Maggio Werner Abrolat 弗兰克·布拉尼亚 José Canalejas 萝丝玛丽·德克斯特 费尔南多·迪·莱沃 Robert Dryden Bernie Grant Jesús Guzmán Peter Lee Lawrence 赛尔乔·莱昂内 Gilbert Mack 纳扎雷诺·纳塔莱 Ricardo Palacios 卡罗·斯密 José Terrón Kurt Zips,False
8.7 45,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg,True,6307447,剧情 动作 西部 冒险,美国,被解救的姜戈,https://movie.douban.com/subject/6307447/,2013-05-12,38,434484,8.7,杰米·福克斯 莱昂纳多·迪卡普里奥 克里斯托弗·瓦尔兹 塞缪尔·杰克逊 凯丽·华盛顿 沃尔顿·戈金斯 丹尼斯·克里斯托弗 乔纳·希尔 詹姆斯·瑞马尔 爱波·塔布琳 弗兰科·内罗 罗伯特·卡拉丁 佐伊·贝尔 昆汀·塔伦蒂诺 布鲁斯·邓恩 基思·卡拉丹 唐·约翰逊 J·D·埃弗摩尔 拉斯·坦布林 劳拉·凯洛蒂 詹姆斯·拉索 奥托·艾森度 瑞克斯·林恩 迈克·康纳·盖尼 耐德·巴拉米 克里斯托弗·贝瑞 唐·司徒奥德 汤姆·沃帕特 妮可·加利西亚 丹妮尔·沃茨 库珀·哈克卡比 凯瑞·西蒙斯 乔恩·阿兹 蒂莫西·皮克勒斯 爱德华·J·克莱尔 莫尼卡·雷内·安德森 里奇·J·拉德纳 克雷格·斯塔克,False
8.7 45,9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792368479.jpg,True,1293394,剧情 犯罪 西部,意大利 美国,西部往事,https://movie.douban.com/subject/1293394/,1968-12-21,8,32964,8.7,亨利·方达 查尔斯·布朗森 克劳迪娅·卡汀娜 杰森·罗巴兹 杰克·伊莱姆 伍迪·斯特罗德 加布里埃尔·费泽蒂 基南·怀恩,False
8.7 45,10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2506345769.jpg,False,1297379,西部,西班牙 美国,荒野、黄金、大镖客,https://movie.douban.com/subject/1297379/,1998-10-11,12,778,8.7,艾米利奥·艾斯特维兹 威廉·弗西斯 乔昆姆·德·阿尔梅达 Howie Long 兰斯·金赛 Ricardo Palacios 丹尼尔·马汀 西蒙·安德鲁 乔纳森·班克斯 Stephen Jenn 埃德·劳特尔 詹迪·莫拉,False
