rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
8.7 45,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,True,1297447,爱情 奇幻 武侠 古装,中国香港,倩女幽魂,https://movie.douban.com/subject/1297447/,2011-04-30,9,509348,8.7,张国荣 王祖贤 午马 刘兆铭 林威 薛芷伦 胡大为 王晶 黄哈,False
8.7 45,2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg,True,1316510,喜剧 奇幻 武侠 古装,中国香港,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,1993-02-05,17,465378,8.7,梁朝伟 林青霞 张国荣 叶玉卿 张学友 王祖贤 张曼玉 梁家辉 刘嘉玲 钟镇涛 鲍起静 程守一 司马华龙 魏伯勤 麦伟章 尹尚林 林芳雪,False
8.6 45,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,True,1292328,剧情 动作 爱情 武侠 古装,中国香港 中国台湾,东邪西毒,https://movie.douban.com/subject/1292328/,1994-09-17,14,432427,8.6,张国荣 林青霞 梁朝伟 张学友 张曼玉 刘嘉玲 梁家辉 杨采妮 邹兆龙 萧德虎 廖静妮 王祖贤 白丽 刘洵,False
8.6 45,4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,True,1292287,动作 爱情 武侠 古装,中国香港 中国大陆,新龙门客栈,https://movie.douban.com/subject/1292287/,2012-02-24,21,315089,8.6,张曼玉 林青霞 梁家辉 甄子丹 熊欣欣 刘洵 任世官 吴启华 袁祥仁 徐锦江 郑希怡 王彤川 王伟顺 蔡浩 陈志辉 廖静妮 邢金沙 冯雪瑞 魏晶琦 施懿 元彬,False
8.5 45,5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249959791.jpg,True,1306490,剧情 动作 武侠 古装,中国台湾 中国香港,侠女,https://movie.douban.com/subject/1306490/,1970-07-10,28,14783,8.5,徐枫 石隽 白鹰 田鹏 曹健 苗天 张冰玉 薛汉 乔宏 林正英 洪金宝 韩英杰 郝履仁 陈会毅 吴明才 万重山 王瑞 高明 山茅 贾鲁石 鲁直 杜伟和 谢仲谋 李逵 刘楚 张允文 徐庆春 成龙,False
8.4 45,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p838966341.jpg,True,1294417,剧情 爱情 武侠 古装,中国香港,笑傲江湖2：东方不败,https://movie.douban.com/subject/1294417/,1992-06-26,13,140836,8.4,李连杰 林青霞 关之琳 李嘉欣 李子雄 余安安 袁洁莹 刘洵 任世官 钱嘉乐 黄子扬 廖静妮 张国梁,False
8.4 45,7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2160006456.jpg,False,1301136,剧情 动作 武侠 古装,中国香港,空山灵雨,https://movie.douban.com/subject/1301136/,1979-07-11,15,8805,8.4,田丰 孙越 徐枫 秦沛 石隽 吴明才 吴家骧 佟林 萧德虎 王光裕 鲁纯 李文泰 陈慧楼 金昌根 杜伟和,False
8.3 45,8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1507810991.jpg,True,1301168,剧情 爱情 武侠,中国台湾 中国香港 美国 中国大陆,卧虎藏龙,https://movie.douban.com/subject/1301168/,2000-10-13,35,314661,8.3,周润发 杨紫琼 章子怡 张震 郎雄 郑佩佩 李法曾 高西安 海燕 王德明 李黎 黄素影 张金庭 杨蕊 李凯 冯建华 杜振西 徐成林 林峰 王文升 宋东 马中轩 李保成 杨永德 张少军 马宁 褚建民 董长生 徐怡 陈兵 张少成 魏晶琦 林志泰 Bin Chen 黄伟辉,False
8.2 40,9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2204476216.jpg,True,1298443,剧情 动作 武侠 古装,中国香港,黄飞鸿,https://movie.douban.com/subject/1298443/,1991-08-15,22,115257,8.2,李连杰 元彪 关之琳 张学友 郑则仕 邱建国 任世官 熊欣欣 任达华 江全 林富伟 余袁稳 冯雪瑞 麦克·里德 岑潜波 许思敏 黄子扬 午马 石坚 刘洵 袁祥仁 袁信义,False
8.2 40,10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457842663.jpg,True,1301198,动作 武侠 古装,中国大陆 中国香港,少林寺,https://movie.douban.com/subject/1301198/,1982-02-01,24,62995,8.2,李连杰 于海 丁岚 于承惠 计春华 王光权 胡坚强 孙建魁 刘怀良 张建文 阎涤华 王珏 杜传扬 崔志强 寻峰 潘汉光 方平 潘清福 蒋洪波 户田惠子 钱似莺 成运安 童自荣 毕克,False
8.2 45,11,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2548599876.jpg,True,1307812,动作 冒险 武侠,中国大陆,双旗镇刀客,https://movie.douban.com/subject/1307812/,1991-05-17,5,28338,8.2,高一玮 赵玛娜 常江 孙海英 王刚,False
8.2 45,12,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263188547.jpg,False,1306021,奇幻 武侠 古装,中国香港,山中传奇,https://movie.douban.com/subject/1306021/,1979-10-04,14,6369,8.2,石隽 徐枫 张艾嘉 田丰 吴明才 佟林 徐彩虹 孙越 金昌根 吴家骧 陈慧楼 田淑 金纹廷 鲁纯,False
8.2 45,13,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2564846118.jpg,True,33377346,动画 武侠,日本 中国台湾,霹雳奇幻 西幽玹歌,https://movie.douban.com/subject/33377346/,2019-10-25,6,628,8.2,西川贵教 小西克幸 东山奈央 钉宫理惠 新垣樽助 井上喜久子,False
8.1 40,14,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554541437.jpg,True,25919910,剧情 动作 武侠,中国大陆,师父,https://movie.douban.com/subject/25919910/,2015-12-10,51,227018,8.1,廖凡 宋佳 蒋雯丽 金士杰 宋洋 黄觉 麦迪娜 张傲月 马君 陈观泰 熊欣欣 戴立忍 裘继戎 李博 邹家豪 卡丽娜 赵贵祥 李春遂 张蒙生 彭志 刘洪林 王宝山 刘子威 陈韦然 赵峥 李桂生 薄冰 谢勇 尚言生 杨晓波 刘妙 艾琳 刘新义 安东·夏波瓦洛 李一明 李光复 闫长海 杜月 高肖雅 鲁冠廷 柳青伶 崔陆萌 王星凯 冯启龙 任思扬 秦伯坤 赵英龙 徐悦 陈大成 达伦·格罗夫纳 乔鸣麟 ,False
8.1 40,15,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573232376.jpg,False,1297223,喜剧 动作 武侠 古装,中国香港,鹿鼎记,https://movie.douban.com/subject/1297223/,1992-07-30,18,225787,8.1,周星驰 吴孟达 张敏 吴君如 邱淑贞 刘松仁 陈百祥 袁洁莹 温兆伦 徐锦江 陈德容 林青霞 钱似莺 郑家生 胡立成 林芳雪 刘江 雷达,False
8.1 40,16,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2585646640.jpg,True,1293475,剧情 动作 爱情 武侠 古装,中国香港,黄飞鸿之二：男儿当自强,https://movie.douban.com/subject/1293475/,1992-04-16,15,88380,8.1,李连杰 关之琳 甄子丹 莫少聪 姜大卫 熊欣欣 张铁林 任世官 周树基 林迪安 邓泰和 麦克·里德 朱继生 何家驹 江全,False
8.1 40,17,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165557623.jpg,True,1401962,剧情 动作 武侠,中国大陆 中国香港,刀,https://movie.douban.com/subject/1401962/,1995-12-21,20,28206,8.1,赵文卓 熊欣欣 桑妮 惠天赐 陈豪 钟碧霞 朱永棠 周嘉玲 谢天华 邹兆龙 元彬 陈志辉 雪妮 司马华龙 王文成 陈荣宗 钱似莺 何家驹 李道谕 罗伟佳,False
8.1 40,18,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2254482511.jpg,True,1459054,动作 冒险 武侠 古装,中国台湾,龙门客栈,https://movie.douban.com/subject/1459054/,1967-10-21,23,11355,8.1,上官灵凤 石隽 苗天 徐枫 韩英杰 田鹏 田丰 白鹰 焦姣 郝履仁 曹健 葛小宝 薛汉 黄宗迅 万重山 张佩山 徐二牛 鲁直 高明 刘楚 高飞 张允文 洪化郎,False
8.1 40,19,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2200936263.jpg,True,1307898,剧情 动作 悬疑 武侠 古装,中国香港 中国台湾,迎春阁之风波,https://movie.douban.com/subject/1307898/,1973-12-06,34,4592,8.1,李丽华 乔宏 田丰 徐枫 白鹰 胡锦 茅瑛 闵敏 陈著 尔峰 张照 杜文波 王琛 梁锐 林源 俞文华 孙岚 金军 任浩 杨威 杜伟和 何柏光 郝履仁 韩英杰 吴家骧 西瓜刨 冯敬文 李影 李文泰 姜南 金帝 陶威 上官燕兒 吴明才,False
8.1 40,20,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2222867925.jpg,True,26304163,动作 悬疑 武侠 古装,中国大陆,侠僧探案传奇之大夜叉,https://movie.douban.com/subject/26304163/,2015-01-22,6,3510,8.1,韩朔 刘冠成 李美慧 张哲浩 邢珊 马德华,False
8.1 40,21,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195073535.jpg,False,2011120,动作 奇幻 武侠 古装,中国台湾,六祖慧能传,https://movie.douban.com/subject/2011120/,1987,11,449,8.1,刘尚谦 陆一龙 向云鹏 郎雄 葛小宝 古军 凌波 金汉 刘瑞琪 徐少强 王玨,False
8.0 40,22,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2047653768.jpg,True,1292704,剧情 动作 武侠 古装,中国香港 中国大陆,黄飞鸿之三：狮王争霸,https://movie.douban.com/subject/1292704/,1992-12-24,12,97100,8.0,李连杰 关之琳 莫少聪 熊欣欣 刘洵 庄域飞 葛存壮 张春仲 孟瑾 李炳雷 廖静妮 赵箭,False
8.0 40,23,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2526673269.jpg,True,1302128,动作 武侠 古装,中国香港,新独臂刀,https://movie.douban.com/subject/1302128/,1971-02-07,37,8840,8.0,姜大卫 狄龙 李菁 谷峰 王钟 郑雷 梁尚云 张石庵 李钊 林源 金天柱 齐琳 黄梅 卢慧 罗强 刘俊辉 徐发 余袁稳 岑潜波 周小来 王光裕 王青 黎恩 任世官 沈劳 王清河 郑康业 陈星 刘家荣 袁祥仁 蓝伟烈  谭宝 黄哈 李超俊 黄培基 冯克安 袁信义,False
8.0 40,24,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2161821786.jpg,False,1296161,动作 武侠 古装,中国香港,忠烈图,https://movie.douban.com/subject/1296161/,1975-02-19,32,2316,8.0,徐枫 白鹰 乔宏 韩英杰 洪金宝 黃志明 张照 钱月笙 徐松鹤 元武 张石庵 金军 俞文华 沙鸥 杜伟和 袁小田 何柏光 陶威 元彪 陈会毅 元奎 董玮 赵雷 郝履仁 吴家骧 吴明才 元华 火星 屠光启 李文泰 姜南 成龙,False
7.9 40,25,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1655227895.jpg,False,1306951,喜剧 动作 武侠 古装,中国香港,鹿鼎记2：神龙教,https://movie.douban.com/subject/1306951/,1992-09-24,21,149035,7.9,周星驰 邱淑贞 林青霞 李嘉欣 陈百祥 刘松仁 温兆伦 汤镇业 吴君如 袁洁莹 陈德容 秦沛 谭淑梅 尹尚林 郑雷 罗兰 任世官 马海伦 郑家生 张敏 杜伟和,False
7.9 40,26,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2518212196.jpg,True,1296629,爱情 奇幻 武侠 古装,中国香港,倩女幽魂2：人间道,https://movie.douban.com/subject/1296629/,1990-07-13,15,116533,7.9,张国荣 王祖贤 张学友 午马 李子雄 李嘉欣 刘洵 刘兆铭 谷峰 冯雪瑞 廖静妮 欧阳莎菲 胡大为 杜少津 伍国健,False
7.9 40,27,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2186152223.jpg,True,1297763,喜剧 动作 武侠 古装,中国香港,方世玉,https://movie.douban.com/subject/1297763/,1993-03-04,17,109415,7.9,李连杰 萧芳芳 陈松勇 李嘉欣 胡慧中 赵文卓 朱江 郑少秋 郭涛 高西安 刘金山 俞立文 刘红梅 杨青 潘粤明 孙晨曦 陈龙,False
7.9 40,28,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2543084320.jpg,True,1297304,动作 武侠 古装,中国香港 中国台湾,笑傲江湖,https://movie.douban.com/subject/1297304/,1990-04-05,14,62461,7.9,许冠杰 叶童 张学友 张敏 袁洁莹 刘兆铭 元华 刘洵 林正英 午马 韩英杰 冯雪瑞 甘山 江全,False
7.9 40,29,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191217431.jpg,False,1300195,动作 爱情 奇幻 武侠 古装,中国台湾,喜怒哀乐,https://movie.douban.com/subject/1300195/,1970-10-09,19,956,7.9,甄珍 岳阳 张美瑶 李丽华 杨群 欧威 刘明 张铮 龙飞 韩苏 胡锦 陈国钧 Ching Ping Wang 陈慧楼 薛汉 葛香亭 李逵 曹健 江青,False
7.9 40,30,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2200683057.jpg,False,2133148,动作 犯罪 武侠,中国香港,目无王法,https://movie.douban.com/subject/2133148/,1981,23,598,7.9,李修贤 孙建 詹森 雷达 卢慧 黄公武 闵敏 岑潜波 张炳灿 萧德虎 西瓜刨 金天柱 葛萍 罗烈 杨志卿 王清河 林秀君 李丽丽 姜南 袁日初 钱似莺 白彪 姚文基,False
7.8 40,31,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1148052547.jpg,True,1297863,喜剧 动作 武侠 古装,中国香港,武状元苏乞儿,https://movie.douban.com/subject/1297863/,1992-12-17,21,249124,7.8,周星驰 张敏 吴孟达 徐少强 林威 陈百祥 郑丹瑞 苑琼丹 陈慧仪 黄美芬 邓泰和 邹义训 胡立成 尹尚林 张荣祥 黄衍濛 黎彼得 杨幂 袁祥仁 王钟 林富伟,False
7.8 40,32,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p722764652.jpg,True,1294561,喜剧 动作 武侠 古装,中国香港,太极张三丰,https://movie.douban.com/subject/1294561/,1993-11-18,9,101358,7.8,李连杰 杨紫琼 钱小豪 袁洁莹 袁祥仁 刘洵 于海 刘立伟 孙建魁,False
7.8 40,33,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329746123.jpg,True,1296837,剧情 动作 冒险 武侠 古装,中国香港,新少林五祖,https://movie.douban.com/subject/1296837/,1994-02-05,12,64759,7.8,李连杰 谢苗 邱淑贞 叶德娴 陈松勇 计春华 王龙威 猪哥亮 魏伯勤 王晶 刘松仁 曾志伟,False
7.8 40,34,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414132191.jpg,True,2136204,剧情 动作 武侠 古装,中国大陆,陆小凤传奇之陆小凤前传,https://movie.douban.com/subject/2136204/,2007-01-03,6,14605,7.8,张智霖 张智尧 杨丽菁 林涵 王正权 张磊,False
7.8 40,32,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p722764652.jpg,True,1294561,喜剧 动作 武侠 古装,中国香港,太极张三丰,https://movie.douban.com/subject/1294561/,1993-11-18,9,101358,7.8,李连杰 杨紫琼 钱小豪 袁洁莹 袁祥仁 刘洵 于海 刘立伟 孙建魁,False
7.8 40,33,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329746123.jpg,True,1296837,剧情 动作 冒险 武侠 古装,中国香港,新少林五祖,https://movie.douban.com/subject/1296837/,1994-02-05,12,64759,7.8,李连杰 谢苗 邱淑贞 叶德娴 陈松勇 计春华 王龙威 猪哥亮 魏伯勤 王晶 刘松仁 曾志伟,False
7.8 40,34,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414132191.jpg,True,2136204,剧情 动作 武侠 古装,中国大陆,陆小凤传奇之陆小凤前传,https://movie.douban.com/subject/2136204/,2007-01-03,6,14605,7.8,张智霖 张智尧 杨丽菁 林涵 王正权 张磊,False
7.8 40,35,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509843300.jpg,True,2136201,动作 武侠 古装,中国大陆,陆小凤传奇之铁鞋传奇,https://movie.douban.com/subject/2136201/,2007-01-10,6,12417,7.8,张智霖 张智尧 王心圣 钱漪 徐福来 张磊,False
7.8 40,36,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2350760600.jpg,True,1299085,动作 爱情 武侠 古装,中国大陆 中国香港,一刀倾城,https://movie.douban.com/subject/1299085/,1993-07-15,11,3953,7.8,狄龙 杨凡 杨丽菁 关之琳 赵长军 洪金宝 黄锦江 邹兆龙 刘洵 田俊 叶荣祖,False
7.8 40,37,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2003156477.jpg,True,19965275,剧情 历史 武侠 古装,中国大陆,杨门女将之情定穆柯寨,https://movie.douban.com/subject/19965275/,2001,4,1358,7.8,宁静 张智尧 戴春荣 李若彤,False
7.8 40,38,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2284457527.jpg,True,19965280,剧情 历史 武侠 古装,中国大陆,杨门女将之战地情缘,https://movie.douban.com/subject/19965280/,2001,4,1093,7.8,宁静 李绮虹 郑佩佩 张智尧,False
7.7 40,39,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1655212378.jpg,True,1299059,动作 奇幻 武侠 古装,中国香港,倚天屠龙记之魔教教主,https://movie.douban.com/subject/1299059/,1993-12-18,22,114677,7.7,李连杰 张敏 邱淑贞 黎姿 洪金宝 吴镇宇 吴耀汉 曹荣 闫怀礼 梁家仁 邹兆龙 田启文 张春仲 姬麒麟 程东 孙梦泉 刘大刚 马子俊 于彦凯 张续晟 蔡坚成 邹义训,False
7.7 40,40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958927779.jpg,True,1293765,动作 爱情 奇幻 冒险 武侠 古装,中国香港,白发魔女传,https://movie.douban.com/subject/1293765/,1993-08-26,12,62748,7.7,张国荣 林青霞 吴镇宇 吕少玲 蓝洁瑛 罗乐林 鲍方 高雄 郑敬基 袁卓凡 曾健明 唐宁,False
