rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.2 45,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,True,1292213,喜剧 爱情 奇幻 古装,中国香港 中国大陆,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,2014-10-24,16,1071171,9.2,周星驰 吴孟达 朱茵 蔡少芬 蓝洁瑛 莫文蔚 罗家英 刘镇伟 陆树铭 李健仁 付博文 胡立成 金永钢 吴珏瑾 江约诚 许敬义,False
9.0 45,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,True,1299398,喜剧 爱情 奇幻 古装,中国香港 中国大陆,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,2014-10-24,13,858555,9.0,周星驰 吴孟达 罗家英 蓝洁瑛 莫文蔚 江约诚 陆树铭 刘镇伟 朱茵 李健仁 许敬义 胡立成 蔡少芬,False
8.7 45,3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,True,1297447,爱情 奇幻 武侠 古装,中国香港,倩女幽魂,https://movie.douban.com/subject/1297447/,2011-04-30,9,509348,8.7,张国荣 王祖贤 午马 刘兆铭 林威 薛芷伦 胡大为 王晶 黄哈,False
8.7 45,4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg,True,1316510,喜剧 奇幻 武侠 古装,中国香港,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,1993-02-05,17,465378,8.7,梁朝伟 林青霞 张国荣 叶玉卿 张学友 王祖贤 张曼玉 梁家辉 刘嘉玲 钟镇涛 鲍起静 程守一 司马华龙 魏伯勤 麦伟章 尹尚林 林芳雪,False
8.6 45,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,True,1306249,喜剧 爱情 古装,中国香港,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,1993-07-01,32,718646,8.6,周星驰 巩俐 陈百祥 郑佩佩 朱咪咪 梁家仁 苑琼丹 梁荣忠 黄一山 黄霑 吴镇宇 刘家辉 蓝洁瑛 谷德昭 陈辉虹 李健仁 宣萱 温翠苹 王伟梁 贾天怡 曾健明 何英伟 刘小芸 平田广明 朱铁和 姜皓文 陈家碧 黎彼得 黄凤琼 刘锡贤 李家声 林威,False
8.6 45,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,True,1292328,剧情 动作 爱情 武侠 古装,中国香港 中国台湾,东邪西毒,https://movie.douban.com/subject/1292328/,1994-09-17,14,432427,8.6,张国荣 林青霞 梁朝伟 张学友 张曼玉 刘嘉玲 梁家辉 杨采妮 邹兆龙 萧德虎 廖静妮 王祖贤 白丽 刘洵,False
8.6 45,7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,True,1292287,动作 爱情 武侠 古装,中国香港 中国大陆,新龙门客栈,https://movie.douban.com/subject/1292287/,2012-02-24,21,315089,8.6,张曼玉 林青霞 梁家辉 甄子丹 熊欣欣 刘洵 任世官 吴启华 袁祥仁 徐锦江 郑希怡 王彤川 王伟顺 蔡浩 陈志辉 廖静妮 邢金沙 冯雪瑞 魏晶琦 施懿 元彬,False
8.6 45,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2523046767.jpg,False,2029103,剧情 古装,中国大陆,了凡四训,https://movie.douban.com/subject/2029103/,2001,7,1596,8.6,张明健 于博宁 丁嘉丽 达式常 姬培杰 陈晓旭 吴俊全,False
8.5 45,9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,True,1297518,喜剧 古装,中国香港,九品芝麻官,https://movie.douban.com/subject/1297518/,1994-03-31,32,375374,8.5,周星驰 吴孟达 张敏 徐锦江 钟丽缇 蔡少芬 吴启华 邹兆龙 梁荣忠 黄一飞 苑琼丹 刘洵 黄一山 卢雄 曾健明 蔡坚成 欧瑞伟 姜瑰瑾 刘小芸 胡立成 陈文好 刘准 王清河 黄凤琼 夏萍 谷峰 吴回 李健仁 田启文 程东 鲁芬 邓泰和,False
8.5 45,10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg,True,1303394,剧情 爱情 奇幻 古装,中国香港,青蛇,https://movie.douban.com/subject/1303394/,1993-11-04,10,363989,8.5,张曼玉 王祖贤 赵文卓 吴兴国 马精武 田丰 刘洵 陈冬梅 冯雪瑞 邢金沙,False
8.5 45,11,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249959791.jpg,True,1306490,剧情 动作 武侠 古装,中国台湾 中国香港,侠女,https://movie.douban.com/subject/1306490/,1970-07-10,28,14783,8.5,徐枫 石隽 白鹰 田鹏 曹健 苗天 张冰玉 薛汉 乔宏 林正英 洪金宝 韩英杰 郝履仁 陈会毅 吴明才 万重山 王瑞 高明 山茅 贾鲁石 鲁直 杜伟和 谢仲谋 李逵 刘楚 张允文 徐庆春 成龙,False
8.5 45,12,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2251569246.jpg,True,2000736,剧情 动作 爱情 古装,中国大陆,笔中情,https://movie.douban.com/subject/2000736/,1982,11,2003,8.5,朱碧云 程之 张闽 赵静 王伯昭 牛犇 迟重瑞 丁嘉元 高维明 叶高 史原,False
8.5 45,13,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2345607696.jpg,True,1937380,喜剧 爱情 古装 音乐,中国香港,三笑,https://movie.douban.com/subject/1937380/,1964-03-21,12,1964,8.5,陈思思 向群 文逸民 龚秋霞 林源 孙芷君 苏秦 朱立 白荻 金沙 王季平 梁衡,False
8.4 45,14,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p838966341.jpg,True,1294417,剧情 爱情 武侠 古装,中国香港,笑傲江湖2：东方不败,https://movie.douban.com/subject/1294417/,1992-06-26,13,140836,8.4,李连杰 林青霞 关之琳 李嘉欣 李子雄 余安安 袁洁莹 刘洵 任世官 钱嘉乐 黄子扬 廖静妮 张国梁,False
8.4 45,15,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155612579.jpg,False,4099231,动画 奇幻 古装,日本,辉夜姬物语,https://movie.douban.com/subject/4099231/,2013-11-23,16,65250,8.4,朝仓亚纪 高良健吾 地井武男 宫本信子 高畑淳子 田畑智子 上川隆也 伊集院光 宇崎龙童 中村七之助 桥爪功 朝丘雪路 仲代达矢 詹姆斯·麦斯登 刘玉玲 约翰·赵,False
8.4 45,16,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2388405913.jpg,False,26887890,剧情 儿童 古装,中国大陆,小戏骨：白蛇传,https://movie.douban.com/subject/26887890/,2016-10-02,17,14914,8.4,陶奕希 周芷莹 刘戴恩 钟奕儿 陈禹衡 李俊豪 李欣怡 罗自豪 李平波 喻峰 彭楚雅 胡轶珂 陈荣达 姚雯嘉 向小康 陈奕好 Wenjia Yao,False
8.4 45,17,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2160006456.jpg,False,1301136,剧情 动作 武侠 古装,中国香港,空山灵雨,https://movie.douban.com/subject/1301136/,1979-07-11,15,8805,8.4,田丰 孙越 徐枫 秦沛 石隽 吴明才 吴家骧 佟林 萧德虎 王光裕 鲁纯 李文泰 陈慧楼 金昌根 杜伟和,False
8.4 45,18,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219570449.jpg,False,1303390,剧情 历史 古装,中国大陆 日本,敦煌,https://movie.douban.com/subject/1303390/,1988-06-25,11,5433,8.4,西田敏行 佐藤浩市 中川安奈 渡濑恒彦 田村高广 柄本明 原田大二郎 三田佳子 蜷川幸雄 新藤荣作 铃木瑞穗,False
8.4 45,19,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2341975713.jpg,True,3078571,剧情 喜剧 古装,中国香港,大千世界,https://movie.douban.com/subject/3078571/,1975-07-17,32,1358,8.4,黄霑 狄波拉 潘冰嫦 洪金宝 罗兰 王天林 石天 王羽 柯俊雄 苗天 欧阳莎菲 杨群 西瓜刨 郝履仁 吴家骧 田俊 冯敬文 李允中 魏平澳 姜南 王琛 曾楚霖 金帝 闵敏 孙岚 王憾尘 尔峰 张石庵 金军 俞文华 金天柱 黄拔景,False
8.4 45,20,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457182911.jpg,True,1859112,剧情 古装,中国大陆,古玩,https://movie.douban.com/subject/1859112/,2001,3,645,8.4,吴卫东 郝戎 王涛,False
8.4 45,21,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455691240.jpg,True,26295984,剧情 爱情 古装 家庭,中国大陆,红楼梦Ⅱ黛玉葬花,https://movie.douban.com/subject/26295984/,1989,21,425,8.4,夏菁 陶慧敏 傅艺伟 刘晓庆 林默予 章杰 宫景华 袁玫 马晓晴 邢金沙 凌元 马盛君 李法曾 李梓 范青山 王云霞 陈祖荣 李伟健 管宗祥 杨世华 李勇勇,False
8.3 45,22,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327208920.jpg,True,2123597,剧情 爱情 奇幻 古装,中国大陆,天仙配,https://movie.douban.com/subject/2123597/,1956,2,1532,8.3,王少舫 严凤英,False
8.3 45,23,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2323489136.jpg,True,1438024,剧情 传记 古装,中国大陆,李时珍,https://movie.douban.com/subject/1438024/,1956,16,951,8.3,赵丹 舒适 仲星火 顾也鲁 高笑鸥 康泰 江山 邓楠 钱千里 舒绣文 程之 任申 叶高 李季 韩涛 凌云,False
8.3 45,24,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2360282741.jpg,True,26295986,爱情 古装 家庭,中国大陆,红楼梦 Ⅳ 二尤惨死,https://movie.douban.com/subject/26295986/,1989,20,372,8.3,夏菁 陶慧敏 傅艺伟 刘晓庆 林默予 章杰 宫景华 马丽娜 姬麒麟 李玲玉 凌元 张蕾 马晓晴 何赛飞 王云霞 石冼 李梓 杨世华 李勇勇 倪雪华,False
