rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.5 50,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,True,1295124,剧情 历史 战争,美国,辛德勒的名单,https://movie.douban.com/subject/1295124/,1993-11-30,46,780582,9.5,连姆·尼森 本·金斯利 拉尔夫·费因斯 卡罗琳·古多尔 乔纳森·萨加尔 艾伯丝·戴维兹 马尔戈萨·格贝尔 马克·伊瓦涅 碧翠斯·马科拉 安德烈·瑟韦林 弗里德里希·冯·图恩 克齐斯茨托夫·拉夫特 诺伯特·魏塞尔 Tadeusz Huk 马丁·塞梅洛格 托马斯·德德克 奥拉夫·卢巴申科 马瑞安·格林卡 佐久间玲 约亨·尼克尔 艾尔文·莱德 约阿希姆·保罗·阿斯波克 Maciej Orlos 阿格涅兹卡·克鲁科沃娜 吴俊全 彭河 皮奥特·赛尔沃斯 戈兹·奥托 玛雅·奥丝塔泽斯卡 Maciej Kozlowski 阿格尼兹卡·旺格 Eugeniusz Priwieziencew 布兰科·拉斯蒂格 路德格·皮斯特 Marta Bizon Ezra Dagan Geno Lechner Razia Israeli 拉米·希尔伯格 埃琳娜·勒文松 胡契克·卡勒塔 塔德乌什·布拉德茨基 亨里克·比斯塔 帕维·德朗柯 耶日·诺瓦克 安娜·穆查,False
9.5 50,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2262122096.jpg,True,1461403,剧情 历史,中国大陆,茶馆,https://movie.douban.com/subject/1461403/,1982,35,51073,9.5,于是之 郑榕 蓝天野 英若诚 黄宗洛 童超 金昭 林连昆 牛星丽 谭宗尧 童弟 吴淑昆 胡宗温 程中 李大千 李源 李翔 张瞳 任宝贤 尚丽娟 米铁增 田春奎 冯增祥 雷飞 林东升 孟瑾 孙俊峰 平原 曹世骧 王大年 张华 丁海涛 朱旭 孙敬修 董行佶,False
9.3 50,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,True,1300267,剧情 历史 爱情 战争,美国,乱世佳人,https://movie.douban.com/subject/1300267/,1939-12-15,36,486049,9.3,费雯·丽 克拉克·盖博 奥利维娅·德哈维兰 托马斯·米切尔 芭芭拉·欧内尔 伊夫林·凯耶斯 安·卢瑟福德 乔治·里弗斯 弗莱德·克莱恩 海蒂·麦克丹尼尔 奥斯卡·波尔克 巴特弗莱·麦昆 维克托·乔里 埃弗雷特·布朗 霍华德·C·希克曼 艾丽西亚·瑞特 莱斯利·霍华德 兰德·布鲁克斯 卡洛尔·奈 劳拉·霍普·克鲁斯 埃迪·安德森 哈里·达文波特 利昂娜·罗伯特 简·达威尔 欧娜·满森 保罗·赫斯特 伊莎贝尔·朱尔 卡米·金·肯伦 艾瑞克·林登 J·M·克里根 沃德·邦德 莉莲·肯布尔-库珀 吴文伦 查曼若 彭河 李守贞,False
9.3 50,4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p672536444.jpg,True,1464526,剧情 历史,中国大陆,横空出世,https://movie.douban.com/subject/1464526/,1999-12-12,12,24675,9.3,李雪健 李幼斌 高明 陈瑾 滕汝骏 张勇手 刘琳 陶海 李晓耕 李胜源 王春元 Chun Wang,False
9.2 50,5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,True,1292365,剧情 历史 家庭,中国大陆 中国香港,活着,https://movie.douban.com/subject/1292365/,1994-05-17,17,567341,9.2,葛优 巩俐 姜武 牛犇 郭涛 张璐 倪大红 肖聪 董飞 刘天池 董立范 黄宗洛 刘燕瑾 李连义 杨同顺 苏岩 王丽华,False
9.2 50,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,True,1293172,剧情 传记 历史,英国 意大利 中国大陆 法国,末代皇帝,https://movie.douban.com/subject/1293172/,1987-10-04,35,511797,9.2,尊龙 陈冲 邬君梅 彼得·奥图尔 英若诚 吴涛 黄自强 丹尼斯·邓恩 坂本龙一 马吉·汉 里克·扬 田川洋行 苟杰德 理查德·吴 皱缇格 陈凯歌 卢燕 区亨利 陈述 鲍皓昕 黄文捷 邵茹贞 亨利·基 张良斌 梁冬 康斯坦丁·格雷戈里 黄汉琪 王涛 宋怀桂 蔡鸿翔 程淑艳 张天民 户田惠子 王彪 劳力,False
9.2 45,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,True,1296736,剧情 传记 历史 战争 音乐,法国 德国 英国 波兰,钢琴家,https://movie.douban.com/subject/1296736/,2002-05-24,19,367006,9.2,艾德里安·布洛迪 托马斯·克莱舒曼 艾米莉娅·福克斯 米哈乌·热布罗夫斯基 埃德·斯托帕德 穆琳·利普曼 弗兰克·芬莱 茱莉亚·蕾娜 杰西卡·凯特·梅耶尔 理查德·赖丁斯 泽比纽·扎马洲斯基 安德鲁·蒂曼 丹尼尔·卡尔塔吉罗内 约翰·基奥 露丝·普拉特 雅努什·奥莱伊尼恰克 帕韦尔·伯克齐克 索菲娅·切尔文斯卡 Emilio Fernandez,False
9.2 45,8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522310203.jpg,True,1298944,剧情 历史,中国台湾,无言的山丘,https://movie.douban.com/subject/1298944/,1992-12-05,9,7562,9.2,杨贵媚 黄品源 澎恰恰 文英 陈仙梅 任长彬 许杰辉 陆弈静 陈博正,False
9.2 45,9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511436741.jpg,False,1298257,剧情 历史 战争,苏联,战争与和平1：安德烈·博尔孔斯基,https://movie.douban.com/subject/1298257/,1965,1,1071,9.2,尼基塔·米哈尔科夫,False
9.2 50,10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2511436818.jpg,False,1303079,剧情 历史 战争,苏联,战争与和平3：1812年,https://movie.douban.com/subject/1303079/,1967-11-23,0,916,9.2, ,False
9.2 45,11,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2511436826.jpg,False,1297822,剧情 历史 战争,苏联,战争与和平4：皮埃尔·别祖霍夫,https://movie.douban.com/subject/1297822/,1967-11-23,0,845,9.2, ,False
9.1 45,12,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2074409805.jpg,False,1307067,剧情 历史 爱情 战争,苏联,战争与和平,https://movie.douban.com/subject/1307067/,1966-03-14,43,5404,9.1,谢尔盖·邦达尔丘克 柳德米拉·萨维里耶娃 维亚切斯拉夫·吉洪诺夫 安娜斯塔西亚·维尔金斯卡娅 安东宁娜·舒拉诺娃 鲍里斯·扎哈瓦 阿纳托利·克托罗夫 奥列格·塔巴科夫 维克托·斯坦尼岑 伊琳娜·斯科布采娃 瓦西里·兰诺沃依 琪拉·戈洛夫科 伊琳娜·古巴诺娃 亚历山大·费·鲍里索夫 奥列格·叶夫列莫夫 朱利·乔霍涅利泽 弗拉季斯拉夫·斯特尔热利奇克 安格林娜·斯捷潘诺娃 尼古拉·特罗菲莫夫 尼古拉·雷布尼科夫 爱德华·马尔采维奇 叶莲娜·佳普金娜 诺娜·莫尔久科娃 彼得·萨温 谢苗·斯瓦申科 谢尔盖·尼科年科 丹尼尔·涅特列宾 阿列克谢·格拉济林 伊万·热瓦戈 加琳娜·克拉夫琴科 尼古拉·格林科 斯坦尼斯拉夫·切坎 列夫·波利亚科夫 杰玛·菲尔索娃 安德烈·斯米尔诺夫 亚历山大·斯米尔诺夫 尼古拉·布勃诺夫 格奥尔基·米利亚尔 罗季翁·亚历山德罗夫 伊娅·阿列比娜 玛丽亚·卡普尼斯特 尼古拉·库图佐夫 尼基塔·米哈尔科夫,False
9.1 45,13,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p922207281.jpg,False,1292589,剧情 历史,美国,纽伦堡的审判,https://movie.douban.com/subject/1292589/,1961-12-14,12,5287,9.1,斯宾塞·屈塞 伯特·兰卡斯特 理查德·威德马克 玛琳·黛德丽 马克西米连·谢尔 朱迪·加兰 蒙哥马利·克利夫特 维尔纳·克伦佩雷尔 雷·蒂尔 卡尔·斯温森 肯尼斯·麦克纳 威廉·夏特纳,False
9.1 45,14,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2566324607.jpg,False,1441039,剧情 历史 战争,日本,人间的条件(第五、六部),https://movie.douban.com/subject/1441039/,1961-01-28,24,1507,9.1,仲代达矢 新珠三千代 高峰秀子 中村玉绪 川津祐介 笠智众 内藤武敏 岸田今日子 瞳丽子 金子信雄 石黑达也 北村和夫 高原骏雄 山内明 二本柳宽 御桥公 上田吉二郎 成濑昌彦 菅井琴 中村美代子 南美江 北原文枝 菊地勇一 木村幌,False
9.1 45,15,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2509584225.jpg,False,4176666,历史 动画,日本,三国志：长江的燃烧,https://movie.douban.com/subject/4176666/,1993-03-20,37,1039,9.1,渡哲也 青井辉彦 石田太郎 青野武 家弓家正 柴田秀胜 屋良有作 堀秀行 潘惠子 杉山佳寿子 中西妙子 中田浩二 八奈见乘儿 野田圭一 宫内幸平 槐柳二 矢田耕司 田中康郎 兼本新吾 盐屋翼 池水通洋 田中亮一 山田俊司 堀川亮 佐藤正治 乡里大辅 岸野一彦 户谷公次 田中和实 挂川裕彦 平野正人 小林通孝 佐藤佑晖 真地勇志 里内信夫 铃木沙织 久川绫,False
9.1 45,16,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509584012.jpg,False,4176667,历史 动画,日本,三国志：辽阔的大地,https://movie.douban.com/subject/4176667/,1994-04-09,37,963,9.1,渡濑恒彦 青井辉彦 青野武 石田太郎 鹤广美 大塚周夫 池水通洋 田中秀幸 田中康郎 桥本晃一 家弓家正 神山卓三 阪脩 中田浩二 柴田秀胜 堀秀行 杉山佳寿子 堀之纪 田中和实 岸野一彦 银河万丈 佐藤正治 矢田耕司 野本礼三 乡里大辅 北川米彦 八奈见乘儿 挂川裕彦 真地勇志 小林通孝 川津泰彦 小林俊夫 江川央生 增田有宏 平野正人 萩森侚子 金丸日向子,False
9.1 45,17,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2511436787.jpg,False,1303712,剧情 历史 战争,苏联,战争与和平2：娜塔莎·罗斯托娃,https://movie.douban.com/subject/1303712/,1966-07-23,1,957,9.1,维亚切斯拉夫·吉洪诺夫,False
9.1 45,18,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2562096919.jpg,False,2040152,剧情 历史 战争,法国 意大利 西德 加拿大 英国,法国大革命,https://movie.douban.com/subject/2040152/,1990-09-30,53,645,9.1,克劳斯·马利亚·布朗道尔 简·西摩 雷蒙·热罗姆 克里斯托弗·汤普森 Anne Létourneau 维托里奥·梅佐焦尔诺 Louise Latraverse Robert Eliot 丹尼尔·朗格莱 Sean Flynn 弗朗索瓦-埃里克·金德伦 妮科尔·格当 菲利平·勒鲁瓦-博利约 汉斯·迈尔 Jean-Pierre Stewart 萨德·里波特 Louison Roblin 让-伊夫·贝特鲁 雅克·佩诺 多米尼克·皮侬 迈克·马歇尔 Michel Melki Yves-Marie Maurin Jean-Marie Lemaire 杰纳维夫·马尼奇 马克.德.容 米歇尔·迪绍苏瓦 瑟志·杜比尔 Graeme Allwright 乔治斯·科拉菲斯 亨利·赛尔 罗纳德·格特曼 玛丽·布奈尔 汉斯·齐施勒 萨米·纳塞利 米歇尔·索博 克劳迪娅·卡汀娜 让-弗朗索瓦·巴尔梅 加布丽·拉佐 马西莫·吉洛蒂 雅克·西龙 Tomasz Bialkowski 玛丽安娜·巴斯莱 Yves Beneyton 让·布伊兹 塞巴斯蒂安·罗奇 克里斯托弗·李 让-弗朗索瓦·斯泰弗南 米歇尔·加拉布吕 弗朗索瓦·克鲁塞 山姆·尼尔 安德烈·瑟韦林 彼得·乌斯蒂诺夫,False
9.0 45,19,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197185196.jpg,True,1292849,剧情 历史 战争,美国,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,1998-11-13,51,455123,9.0,汤姆·汉克斯 汤姆·塞兹摩尔 爱德华·伯恩斯 巴里·佩珀 亚当·戈德堡 范·迪塞尔 吉奥瓦尼·瑞比西 杰瑞米·戴维斯 马特·达蒙 特德·丹森 保罗·吉亚玛提 丹尼斯·法里纳 马克斯·马蒂尼 丹兰·布鲁诺 丹尼尔·切尔奎拉 迪米特里·格里特萨斯 史蒂夫·格里芬 彼得·迈尔斯 亚当·肖 罗尔夫·萨克森 克里·约翰逊 洛克兰·艾肯 尚恩约翰逊 莱尔德·曼辛托斯 安德鲁·斯科特 马修·夏普 文森特·沃尔什 约翰·沙拉恩 马丁·哈伯 罗非洛·迪格托勒 恩里奇·雷德曼 米歇尔·埃文斯 内森·菲利安 利兰·奥瑟 大卫·维格 瑞恩·赫斯特 哈威·普雷斯内尔 代尔·戴 布莱恩·科兰斯顿 大卫·沃尔 埃里克·罗兰 哈里逊·杨 凯思琳·拜荣 约翰·德·兰西 詹姆斯·恩布里 德里克·李 若昂·科斯塔·梅内塞斯 马克·施泰因迈尔 布莱恩·格拉格提 徐光宇 田二喜,False
9.0 45,20,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p997945263.jpg,True,1303067,剧情 历史 战争,日本 美国,影武者,https://movie.douban.com/subject/1303067/,1980-04-26,24,45970,9.0,仲代达矢 山崎努 萩原健一 根津甚八 大泷秀治 隆大介 油井昌由树 桃井薰 倍赏美津子 室田日出男 清水綋治 山本亘 音羽久米子 阿藤快 江幡高志 岛香裕 松井范雄 千叶治郎 伊藤荣八 大村千吉 志村乔 藤原釜足 中岛书 陆建艺,False
9.0 45,21,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2088879323.jpg,True,1293909,剧情 历史 战争 冒险,西德,从海底出击,https://movie.douban.com/subject/1293909/,1981-09-17,21,25930,9.0,尤尔根·普洛斯诺 赫贝特·格勒内梅厄 拉尔夫·瑞克特 古特·拉姆普雷切特 海茵茨 ·霍尼格 乌韦·奥克森克内希特 Claude-Oliver Rudolph Oliver Stritzel Konrad Becker Rita Cadillac 奥托·山德尔 Maryline Moulard Martin May 艾尔文·莱德 Bernd Tauber 扬·费德 克劳斯·文内曼 Joachim Bernhard Dirk Salomon Hubertus Bengsch 马丁·塞梅洛格,False
9.0 45,22,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327630533.jpg,False,1299248,传记 剧情 历史 战争,苏联,镜子,https://movie.douban.com/subject/1299248/,1975-03-07,10,17340,9.0,玛格丽特·捷列霍娃 因诺肯季·斯莫克图诺夫斯基 奥列格·扬科夫斯基 菲利普·扬科夫斯基 伊格纳特·达尼利采夫 尼古拉·格林科 阿拉·杰米多娃 尤里·纳扎罗夫 安纳托利·索洛尼岑 亚历山大·米沙林,False
9.0 45,23,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2506652289.jpg,True,1422283,剧情 历史 战争,中国大陆,高山下的花环,https://movie.douban.com/subject/1422283/,1985-11-07,10,12819,9.0,唐国强 吕晓禾 何伟 王玉梅 倪大红 盖克 斯琴高娃 胡宗琪 管宗祥 童超,False
9.0 45,24,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1209470213.jpg,False,1298248,传记 剧情 历史 战争,苏联,安德烈·卢布廖夫,https://movie.douban.com/subject/1298248/,1971-12-24,18,7512,9.0,安纳托利·索洛尼岑 伊万·拉皮科夫 尼古拉·格林科 尼古拉·谢尔盖耶夫 伊尔玛·拉乌什 尼古拉·布尔利亚耶夫 尤里·纳扎罗夫 尤里·尼库林 罗兰·贝科夫 Irina Miroshnichenko Dmitri Orlovsky 穆拉特贝克·里斯库洛夫 尼古拉·库图佐夫 Mikhail Kononov 斯捷潘·克雷洛夫 Nikolai Grabbe 博洛特·贝舍纳利耶夫 Nikolai Glazkov,False
9.0 45,25,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2180184371.jpg,False,1294573,剧情 历史 战争,希腊 法国 意大利 德国 英国 南斯拉夫 罗马尼亚 阿尔巴尼亚 波黑,尤里西斯的凝视,https://movie.douban.com/subject/1294573/,1995-05-24,31,5759,9.0,哈威·凯特尔 厄兰·约瑟夫森 玛雅·摩根斯坦特 萨纳西斯·韦戈斯 多拉·瓦拉那基 萨诺斯·格拉迈诺斯 留巴·塔迪奇 万格利斯·卡赞 Mirka Kalatzopoulou 伊娃·科塔曼尼多 纳迪娅·穆鲁齐 塔尼娅·帕拉依奥罗葛 斯特拉托斯·帕希斯 斯特拉托斯·楚措格卢 扬尼斯·菲里奥斯 朵拉·西里思科 Virgil Andriescu Eleni Angelopoulos Slobodan Custic 拉什特科·扬科维奇 Sasa Joksimovic Ivan Klemenc Dragan Maksimovic Olivera Markovic Slobodan Ninkovic Evgenios Spatharis 维斯娜切瓦里克 Pemi Zouni 米哈利斯·扬纳托斯 沃捷希奇·帕斯佐尼亚克 玛雅·摩根斯特恩,False
9.0 45,26,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546247180.jpg,False,1388180,剧情 历史 爱情,希腊 法国 意大利 德国,哭泣的草原,https://movie.douban.com/subject/1388180/,2004-02-12,9,5623,9.0,亚历山德拉·艾迪尼 尼克斯·普尔索尼迪斯 吉欧格·亚曼尼斯 瓦西利斯·科洛沃斯 伊娃·科塔曼尼多 陶拉·斯塔索普洛斯 米哈利斯·扬纳托斯 格里戈里斯·埃万耶拉托斯 George Houliaras,False
8.9 45,27,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,True,1294639,动作 传记 剧情 历史 战争,美国,勇敢的心,https://movie.douban.com/subject/1294639/,1995-05-18,24,442962,8.9,梅尔·吉布森 苏菲·玛索 布莱恩·考克斯 詹姆斯·科兹莫 辛·劳洛 凯瑟琳·麦克马克 安古斯·麦克菲登 布莱丹·格里森 詹姆斯·霍纳 彼得·穆兰 童自荣 汤米·弗拉纳根 艾伦·阿姆斯特朗 大卫·奥哈拉 帕特里克·麦高汉 伊安·邦纳 Mhairi Calvey 史蒂芬·比灵顿 迈克尔·伯恩 亚力克斯·诺顿 杰拉德·迈克索利 詹姆斯·鲁宾逊 辛·麦金利 Donal Gibson,False
8.9 45,28,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,True,1291822,剧情 历史 战争,英国 南非 意大利,卢旺达饭店,https://movie.douban.com/subject/1291822/,2004-09-11,15,206656,8.9,唐·钱德尔 苏菲·奥康内多 华金·菲尼克斯 尼克·诺特 哈基姆·凯-卡西姆 托尼·戈罗奇 法纳·莫科纳 大卫·奥哈拉 莫苏西·麦格诺 西莫·莫加瓦扎 卡拉·西摩 罗伯托·西特兰 德斯蒙德·杜布 蕾乐蒂·库马洛 让·雷诺,False
8.9 45,29,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1520558918.jpg,False,10450409,剧情 历史 战争,中国台湾,赛德克·巴莱(上)：太阳旗,https://movie.douban.com/subject/10450409/,2011-09-09,11,77368,8.9,林庆台 游大庆 马志翔 安藤政信 木村佑一 温岚 田中千绘 日比野玲 马如龙 徐诣帆 罗美玲,False
8.8 45,30,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1320085389.jpg,True,3993559,剧情 历史 战争,中国台湾,赛德克·巴莱,https://movie.douban.com/subject/3993559/,2012-05-10,17,133042,8.8,林庆台 马志翔 安藤政信 河原萨布 徐诣帆 温岚 罗美玲 游大庆 林源杰 田中千绘 马如龙 陈志明 汤湘竹 中村龙 林思杰 黑莓 藤冈靛,False
8.8 45,31,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2408791085.jpg,True,26615208,剧情 传记 历史,美国,隐藏人物,https://movie.douban.com/subject/26615208/,2016-12-25,17,109403,8.8,塔拉吉·P·汉森 奥克塔维亚·斯宾瑟 加奈儿·梦奈 凯文·科斯特纳 克斯汀·邓斯特 吉姆·帕森斯 马赫沙拉·阿里 阿尔迪斯·霍吉 格伦·鲍威尔 金贝利·奎恩 奥莱克·克鲁帕 玛戈特·李·谢特利 库尔特·克劳斯 马丽娅豪厄尔 斯科特·迈克尔·摩根 维布尔·弗利茨杰拉德 罗达·格里菲丝,False
8.8 45,32,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1174627051.jpg,False,6393127,剧情 历史 战争,中国台湾,赛德克·巴莱(下)：彩虹桥,https://movie.douban.com/subject/6393127/,2011-09-30,11,67900,8.8,马志翔 温岚 田中千绘 林庆台 安藤政信 徐诣帆 藤冈靛 游大庆 马如龙 木村佑一 罗美玲,False
8.8 45,33,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2185846004.jpg,True,1292230,传记 剧情 历史 悬疑 惊悚,美国 法国,刺杀肯尼迪,https://movie.douban.com/subject/1292230/,1991-12-20,40,25668,8.8,凯文·科斯特纳 茜茜·斯派塞克 汤米·李·琼斯 乔·佩西 加里·奥德曼 凯文·贝肯 杰克·莱蒙 唐纳德·萨瑟兰 马丁·辛 迈克尔·鲁克 文森特·多诺费奥 普路特·泰勒·文斯 鲍勃·冈顿 沃尔特·马修 劳里·梅特卡夫 朗·瑞弗金 爱德华·阿斯纳 韦恩·奈特 莎莉·柯克兰德 约翰·坎迪 菲德尔·卡斯特罗 李易 托马斯·米连 马可·佩雷拉 杰伊·桑德斯 吴俊全 托尼·普拉纳 布赖恩·道尔 沃尔特·克朗凯特 加里·格鲁布斯 贝娅塔·波兹尼亚克 代尔·戴 盖尔·克罗纳奥尔 埃德温·尼尔 乔·安德森 达里尔·考克斯 乔治·R·罗伯逊 约翰·S.戴维斯 Mike Kennedy Victor Kempster,False
8.8 45,34,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1529771932.jpg,False,1307306,剧情 历史 爱情,日本,黄昏的清兵卫,https://movie.douban.com/subject/1307306/,2002-11-02,18,22603,8.8,真田广之 宫泽理惠 小林稔侍 大杉涟 吹越满 深浦加奈子 神户浩 草村礼子 吉田宪二 山崎贵 中村梅雀 赤冢真人 樱井千里 北山雅康 尾美利德 田中泯 岸惠子 丹波哲郎,False
8.8 45,35,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195195471.jpg,False,1293146,剧情 历史 爱情 战争,意大利 法国,豹,https://movie.douban.com/subject/1293146/,1963-03-29,12,10509,8.8,伯特·兰卡斯特 克劳迪娅·卡汀娜 阿兰·德龙 保罗·斯托帕 里娜·莫雷利 卢奇拉·莫拉基 伊妲·伽利 奥塔维亚·皮科洛 特伦斯·希尔 罗慕洛·瓦利 皮埃尔·克里蒙地 塞尔日·雷吉亚尼,False
8.8 45,36,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2096735303.jpg,False,10543907,剧情 历史 战争,英国,亨利五世,https://movie.douban.com/subject/10543907/,2012-07-21,14,8737,8.8,汤姆·希德勒斯顿 朱丽·沃特斯 约翰·赫特 理查德·格雷弗斯 梅兰尼·蒂埃里 朗贝尔·维尔森 佩特逊·约瑟夫 杰拉丁·卓别林 丹尼尔·纳普勒斯 汤姆·布鲁克 格威利姆·李 安东·莱瑟 欧文·蒂尔 杰瑞米·艾恩斯,False
8.8 45,37,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2381203798.jpg,False,1306266,剧情 历史,意大利,木屐树,https://movie.douban.com/subject/1306266/,1978-09-21,12,2555,8.8,弗朗克丝卡·维拉 马西莫·弗拉图斯 Pasqualina Brolis Carlo Rota Giuseppe Brignoli Teresa Brescianini Antonio Ferrari Omar Brignoli Francesca Moriggi 路易吉·奥尔纳吉 Pierangelo Bertoli Maria Grazia Caroli,False
8.8 45,38,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1448905287.jpg,False,2119426,剧情 历史,法国,悲惨世界,https://movie.douban.com/subject/2119426/,1934-02-23,31,386,8.8,哈里·博尔 夏尔·瓦内尔 保罗·阿扎伊斯 马克斯·迪尔利 夏尔·迪兰 埃米尔·热纳瓦 玛尔特·梅洛 皮埃尔·拉尔凯 亨利·克劳斯 路易·克利 乔治·莫卢瓦 让娜·洛里 玛格丽特·莫雷诺 吕西安·纳特 莫里斯·舒茨 罗歇·樊尚 罗贝尔·维达林 拉乌帕 安东尼·吉尔德斯 若斯利娜·加埃勒 加布丽埃勒·丰坦 吉恩·塞维斯 罗兰·阿蒙泰尔 让·戴德 皮埃尔·费瓦尔 居伊·法维耶尔 德洛奈 若塞特·弗朗斯 弗洛雷勒 奥兰·德马齐斯 波利娜·卡尔东,False
