rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
8.9 45,1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,True,1292402,剧情 战争 情色,意大利 美国,西西里的美丽传说,https://movie.douban.com/subject/1292402/,2000-10-27,10,691498,8.9,莫妮卡·贝鲁奇 朱塞佩·苏尔法罗 玛蒂尔德·皮亚纳 埃丽萨·莫鲁奇 奥罗拉·夸特罗基 露琪亚·萨多 瓦尼·布拉马蒂 Salvatore Martino 安东内洛·普利西 Noam Morgensztern,False
8.5 45,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,False,1828115,剧情 爱情 情色,中国台湾 中国大陆 美国 中国香港,色，戒,https://movie.douban.com/subject/1828115/,2007-11-01,22,478979,8.5,梁朝伟 汤唯 陈冲 王力宏 庹宗华 朱芷莹 高英轩 柯宇纶 阮德锵 钱嘉乐 苏岩 何赛飞 宋茹惠 樊光耀 卢燕 刘洁 余娅 王琳 王侃 竹下明子 阿努潘·凯尔 韦奕波,False
8.4 45,3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p700187064.jpg,False,1301582,剧情 爱情 惊悚 情色,法国 英国,苦月亮,https://movie.douban.com/subject/1301582/,1992-09-23,9,69633,8.4,彼德·考约特 艾玛纽尔·塞尼耶 休·格兰特 克里斯汀·斯科特·托马斯 维克多·班纳杰 Olivia Brunaux 杰弗里·凯里 罗伯特·本穆萨 斯托卡特·詹宁,False
8.2 45,4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2355555424.jpg,False,25977027,剧情 悬疑 情色 同性,韩国,小姐,https://movie.douban.com/subject/25977027/,2016-05-14,15,227745,8.2,金敏喜 金泰梨 河正宇 赵震雄 文素丽 金海淑 李龙女 李东辉 赵恩亨 丁夏潭 金仁宇 金思恩 高木里奈 崔秉默 权爀,False
8.2 40,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553122878.jpg,True,1291868,剧情 传记 爱情 情色,法国 英国 越南,情人,https://movie.douban.com/subject/1291868/,1992-01-22,8,165982,8.2,珍·玛奇 梁家辉 弗雷德丽克·梅南热 阿诺·乔瓦尼内蒂 梅尔维尔·珀波 丽萨·福克纳 让娜·莫罗 弗里德里克·奥伯汀,False
8.2 45,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2193339885.jpg,False,1296778,剧情 爱情 情色,美国 法国,一树梨花压海棠,https://movie.douban.com/subject/1296778/,1997-09-26,20,154121,8.2,杰瑞米·艾恩斯 梅兰尼·格里菲斯 弗兰克·兰格拉 多米尼克·斯万 苏珊妮·谢泼德 基思·雷丁 埃琳·J·迪安 琼·格洛弗 帕特·珀金斯 埃德·格雷迪 安吉拉·佩顿 本·西尔弗斯通 爱玛·格里菲斯·马琳 罗纳德·皮卡普 迈克尔·卡尔金 安娜贝勒.艾裴逊 迈克尔·多兰 哈莉·赫里什 约翰·福兰克林·罗宾斯 缪斯·沃森,False
8.2 45,7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561918107.jpg,False,1401522,悬疑 情色,日本,再见箱舟,https://movie.douban.com/subject/1401522/,1984-09-08,13,3890,8.2,山崎努 小川真由美 原田芳雄 石桥莲司 小松方正 宫口精二 高桥瞳 高桥洋子 天本英世 新高恵子 榎木兵卫 日野利彦 三上博史,False
8.1 40,8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1374017596.jpg,False,1291856,剧情 爱情 情色,法国 英国 意大利,戏梦巴黎,https://movie.douban.com/subject/1291856/,2003-09-01,14,138894,8.1,迈克尔·皮特 伊娃·格林 路易·加瑞尔 安娜·钱斯勒 罗宾·瑞努奇 琼-皮尔里·卡尔弗恩 让-皮埃尔·利奥德 吉尔伯特·阿代尔 让-保罗·贝尔蒙多 亨利·朗格卢瓦 珍·茜宝 弗朗索瓦·特吕弗 亚历珊德拉·耶尔马克 Lola Peploe,False
8.1 40,9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2452819595.jpg,False,1303053,剧情 爱情 情色,法国,巴黎野玫瑰,https://movie.douban.com/subject/1303053/,1986-04-09,15,34588,8.1,让·雨果·安格拉德 碧翠斯·黛尔 热拉尔·达尔蒙 克莱门汀·塞拉里耶 André Julien 多米尼克·皮侬 Bernard Robin 多米尼克·贝纳尔 菲利普·劳登巴赫 让-皮埃尔·比松 拉乌尔·比勒 西蒙德拉卜若思 杰西卡·福德 文森特·林顿 孔苏埃洛·德哈维兰,False
8.1 40,10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1554375181.jpg,False,1874704,喜剧 动画 奇幻 情色,美国,我嫁了个怪蜀黍！,https://movie.douban.com/subject/1874704/,1998-08-28,3,7039,8.1,哈里斯·米切尔森 Richard Spore J.B. Adams,False
8.1 40,11,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2543826176.jpg,False,5339111,剧情 爱情 动画 情色,日本,好色一代男,https://movie.douban.com/subject/5339111/,1991-01-18,3,4157,8.1,今西正男 松岛美野里 永井一郎,False
8.0 40,12,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2506003739.jpg,False,1295460,喜剧 情色,美国,性爱宝典,https://movie.douban.com/subject/1295460/,1972-08-06,12,15572,8.0,伍迪·艾伦 约翰·卡拉丁 托尼·霍尔特 杰克·巴里 娄·雅可比 露易丝·拉塞尔 安东尼·奎尔 琳恩·雷德格瑞夫 托尼·兰德尔 伯特·雷诺兹 吉恩·怀尔德 希瑟·麦克雷,False
7.9 40,13,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1708137969.jpg,False,1300275,剧情 悬疑 惊悚 情色,英国 美国,大开眼戒,https://movie.douban.com/subject/1300275/,1999-07-16,35,96732,7.9,汤姆·克鲁斯 妮可·基德曼 麦迪逊·埃金顿 杰基·萨维里斯 西德尼·波拉克 莱斯利·洛韦 托德·菲尔德 迈克尔·多文 斯凯·杜·蒙特 兰德尔·保罗 朱利安·戴维斯 玛丽·理查德森 托马斯·吉布森 凡妮莎·肖 拉德·舍博德兹加 伊川东吾 莉莉·索博斯基 山姆·道格拉斯 安格斯·麦金尼斯 斯坦利·库布里克 艾伦·卡明 克里斯蒂安妮·库布里克 利昂·维塔利 费伊·马斯特森 皮特·本森 Lee Henshaw 特雷瓦·埃迪内 布莱恩·W·库克 Cindy Dolenc 库尔特·莱特纳 Matt Gourley Donna Ewin Kate Charman Stewart Thorndike 凯特·布兰切特,False
7.9 40,14,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2164872329.jpg,False,25804480,剧情 冒险 情色,意大利,激情丛林,https://movie.douban.com/subject/25804480/,1995,4,2117,7.9,洛可·希佛帝 罗莎·卡拉乔洛 妮基塔·格罗斯 曲敬国,False
7.8 40,15,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580938083.jpg,False,1291869,爱情 悬疑 惊悚 情色,美国 法国,本能,https://movie.douban.com/subject/1291869/,1992-03-20,16,123584,7.8,迈克尔·道格拉斯 莎朗·斯通 乔治·杜兹达扎 珍妮·特里普里霍恩 丹尼斯·阿尔恩特 米彻·佩勒吉 Bill Cable 杰克·麦吉 斯蒂芬·托布罗斯基 丹尼尔·冯·巴根 韦恩·奈特 多罗茜·马龙 切尔西·罗斯 布鲁斯·A·扬 玛丽·帕特·格里森 蕾拉妮·萨尔利,False
7.8 40,16,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151633260.jpg,False,6827727,剧情 情色,丹麦 德国 法国 比利时 英国,女性瘾者：第一部,https://movie.douban.com/subject/6827727/,2013-12-25,28,72693,7.8,夏洛特·甘斯布 斯特兰·斯卡斯加德 斯塔西·马汀 希亚·拉博夫 克里斯蒂安·史莱特 乌玛·瑟曼 苏菲·肯尼迪·克拉克 康妮·尼尔森 迈克尔·帕斯 让-马克·巴尔 乌多·基尔 克雷顿·尼姆罗 马古斯·汤姆齐克 雨果·斯皮尔 费莉希蒂·吉尔伯特 赛伦·梅尔维尔 安德斯·霍夫 西蒙·波尔 杰夫·伯勒尔 莎卡亚·瑞丝 杰米·贝尔 尼可拉斯·布若 加斯帕·克里斯滕森 彦斯·阿尔比努斯 沙汀·罗尼 威廉·达福 詹姆斯·诺斯科特 克里斯托夫·施奇杰,False
7.8 40,17,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564370214.jpg,True,1296992,剧情 爱情 情色,美国 英国,洛丽塔,https://movie.douban.com/subject/1296992/,1962-06-13,25,72671,7.8,詹姆斯·梅森 谢利·温特斯 苏·莱恩 加里·科克雷尔 杰里·斯托文 黛安娜·戴克 露易丝·麦斯威尔 塞克·林德 比尔·格林 雪莉·道格拉斯 玛丽安·斯通 詹姆斯·戴伦福思 科林·梅特兰 特里·基尔伯恩 C·丹尼尔·沃伦 彼得·塞勒斯 艾德·毕肖普 彼得·库欣 苏珊·吉布斯 斯坦利·库布里克 克里斯托弗·李 伊莎贝·卢卡 罗伯塔·肖尔 罗纳德·皮卡普 哈莉·赫里什,False
7.8 40,18,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165465692.jpg,False,10792650,剧情 情色,丹麦 德国 比利时 英国 法国 瑞典,女性瘾者：第二部,https://movie.douban.com/subject/10792650/,2013-12-25,18,51145,7.8,夏洛特·甘斯布 斯特兰·斯卡斯加德 斯塔西·马汀 希亚·拉博夫 杰米·贝尔 威廉·达福 克里斯蒂安·史莱特 米娅·高斯 乌多·基尔 苏菲·肯尼迪·克拉克 沙汀·罗尼 劳拉·克里斯滕森 卡罗琳·古多尔 凯特·阿什菲尔德 Sarah Soetaert 迈克尔·帕斯 让-马克·巴尔 乌玛·瑟曼,False
7.8 40,19,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197627924.jpg,False,1394424,剧情 爱情 情色,韩国 日本,弓,https://movie.douban.com/subject/1394424/,2005-05-12,5,32081,7.8,韩业云 金益泰 全国焕 徐智锡 成焕桢,False
